,Time,Amount,Code
0,2019-10-27 00:00:25,0.6027,mcoeth
0,2019-10-27 00:00:26,629.5908,ltcusdt
0,2019-10-27 00:00:27,2488.0819,ltcbtc
0,2019-10-27 00:00:27,15913.7507,btcusdt
0,2019-10-27 00:00:30,16.9623,gntusdt
0,2019-10-27 00:00:32,2.9202,aeeth
0,2019-10-27 00:00:33,1423.2251,etcusdt
0,2019-10-27 00:00:33,15.9373,wtceth
0,2019-10-27 00:00:38,2051.1316,ethusdt
0,2019-10-27 00:00:44,3039.9253,ethbtc
0,2019-10-27 00:00:44,4.2365,zrxusdt
0,2019-10-27 00:00:44,936.5477,omgusdt
1,2019-10-27 00:00:57,12.1856,gntusdt
1,2019-10-27 00:01:00,2298.8792,ltcusdt
1,2019-10-27 00:01:00,34642.0577,btcusdt
1,2019-10-27 00:01:06,574.8776,ltcbtc
1,2019-10-27 00:01:09,0.2371,mcoeth
1,2019-10-27 00:01:12,8301.1604,ethusdt
1,2019-10-27 00:01:14,23.7395,wtceth
1,2019-10-27 00:01:15,2327.4244,omgusdt
1,2019-10-27 00:01:15,68.4793,zrxusdt
1,2019-10-27 00:01:16,385.6795,etcusdt
1,2019-10-27 00:01:17,8.7449,aeeth
2,2019-10-27 00:01:23,2.7658,gntusdt
1,2019-10-27 00:01:25,711.6908,ethbtc
2,2019-10-27 00:01:28,1988.1586,ltcusdt
2,2019-10-27 00:01:31,32531.8379,btcusdt
2,2019-10-27 00:01:34,0.3728,mcoeth
2,2019-10-27 00:01:40,256.3464,omgusdt
2,2019-10-27 00:01:41,2999.2911,ltcbtc
2,2019-10-27 00:01:46,1643.1228,ethusdt
2,2019-10-27 00:01:50,1111.8306,etcusdt
2,2019-10-27 00:01:50,8.2965,zrxusdt
2,2019-10-27 00:01:52,13.5057,wtceth
2,2019-10-27 00:01:52,1475.855,ethbtc
3,2019-10-27 00:01:55,15.6753,gntusdt
3,2019-10-27 00:01:56,21429.1347,btcusdt
2,2019-10-27 00:02:02,0.865,aeeth
3,2019-10-27 00:02:07,3012.7067,ltcusdt
3,2019-10-27 00:02:08,1907.3288,omgusdt
3,2019-10-27 00:02:09,401.5175,ltcbtc
3,2019-10-27 00:02:17,97.5624,zrxusdt
3,2019-10-27 00:02:19,0.1003,mcoeth
3,2019-10-27 00:02:19,429.5154,etcusdt
4,2019-10-27 00:02:21,7.6939,gntusdt
3,2019-10-27 00:02:23,659.4034,ethusdt
4,2019-10-27 00:02:28,1067.5419,btcusdt
3,2019-10-27 00:02:28,3171.6102,ethbtc
3,2019-10-27 00:02:32,16.3678,wtceth
4,2019-10-27 00:02:37,3744.7458,ltcusdt
3,2019-10-27 00:02:39,8.0828,aeeth
4,2019-10-27 00:02:48,0.4163,mcoeth
4,2019-10-27 00:02:51,1058.3031,etcusdt
4,2019-10-27 00:02:53,579.3561,omgusdt
4,2019-10-27 00:02:54,3348.9644,ltcbtc
5,2019-10-27 00:02:54,6.5631,gntusdt
4,2019-10-27 00:02:57,19.3156,wtceth
5,2019-10-27 00:02:59,3706.7069,btcusdt
4,2019-10-27 00:03:02,18.9638,zrxusdt
4,2019-10-27 00:03:06,8.121,aeeth
4,2019-10-27 00:03:06,154.3773,ethusdt
4,2019-10-27 00:03:07,5714.3897,ethbtc
5,2019-10-27 00:03:14,3633.5252,ltcusdt
5,2019-10-27 00:03:23,619.4833,omgusdt
5,2019-10-27 00:03:23,0.3887,mcoeth
5,2019-10-27 00:03:23,381.6297,etcusdt
6,2019-10-27 00:03:24,1734.1399,btcusdt
5,2019-10-27 00:03:27,3208.3864,ltcbtc
5,2019-10-27 00:03:33,30.6024,wtceth
5,2019-10-27 00:03:34,5854.2944,ethusdt
5,2019-10-27 00:03:35,41.0247,zrxusdt
6,2019-10-27 00:03:38,0.2462,gntusdt
5,2019-10-27 00:03:38,7.074,aeeth
5,2019-10-27 00:03:39,100.1625,ethbtc
6,2019-10-27 00:03:52,1504.9585,ltcusdt
6,2019-10-27 00:03:53,2568.9645,etcusdt
7,2019-10-27 00:03:54,11036.3711,btcusdt
6,2019-10-27 00:03:56,0.697,mcoeth
6,2019-10-27 00:04:01,39.7505,wtceth
6,2019-10-27 00:04:01,75.2364,zrxusdt
6,2019-10-27 00:04:05,227.7718,ltcbtc
6,2019-10-27 00:04:08,1063.4313,omgusdt
7,2019-10-27 00:04:12,8.4582,gntusdt
6,2019-10-27 00:04:13,4474.8372,ethusdt
6,2019-10-27 00:04:14,2.4232,aeeth
8,2019-10-27 00:04:19,23236.5891,btcusdt
6,2019-10-27 00:04:20,7649.4726,ethbtc
7,2019-10-27 00:04:24,385.7463,etcusdt
7,2019-10-27 00:04:28,696.0172,ltcusdt
7,2019-10-27 00:04:30,0.5435,mcoeth
7,2019-10-27 00:04:38,72.9042,zrxusdt
8,2019-10-27 00:04:43,3.8976,gntusdt
7,2019-10-27 00:04:46,24.0027,wtceth
7,2019-10-27 00:04:49,2709.7906,ltcbtc
9,2019-10-27 00:04:50,35039.997,btcusdt
7,2019-10-27 00:04:52,804.3929,omgusdt
8,2019-10-27 00:04:55,193.0294,etcusdt
7,2019-10-27 00:04:56,2.9752,aeeth
7,2019-10-27 00:04:57,7076.7392,ethusdt
8,2019-10-27 00:04:58,2248.5713,ltcusdt
7,2019-10-27 00:05:05,1899.6042,ethbtc
8,2019-10-27 00:05:08,33.4395,zrxusdt
8,2019-10-27 00:05:11,0.577,mcoeth
9,2019-10-27 00:05:12,18.154,gntusdt
10,2019-10-27 00:05:26,14492.9176,btcusdt
8,2019-10-27 00:05:27,184.2913,omgusdt
8,2019-10-27 00:05:29,0.8495,wtceth
8,2019-10-27 00:05:32,1307.6367,ltcbtc
8,2019-10-27 00:05:34,2.3016,aeeth
9,2019-10-27 00:05:36,2765.6477,etcusdt
8,2019-10-27 00:05:36,9115.0495,ethusdt
9,2019-10-27 00:05:38,3166.7438,ltcusdt
9,2019-10-27 00:05:41,0.1221,mcoeth
8,2019-10-27 00:05:42,6991.5847,ethbtc
9,2019-10-27 00:05:45,74.1876,zrxusdt
10,2019-10-27 00:05:57,1.8292,gntusdt
9,2019-10-27 00:05:59,1463.1834,ltcbtc
11,2019-10-27 00:06:01,14257.2749,btcusdt
10,2019-10-27 00:06:03,220.1061,ltcusdt
9,2019-10-27 00:06:10,8.7699,aeeth
9,2019-10-27 00:06:10,26.8699,wtceth
9,2019-10-27 00:06:12,1272.5731,omgusdt
10,2019-10-27 00:06:14,46.0773,zrxusdt
9,2019-10-27 00:06:16,5209.9554,ethusdt
10,2019-10-27 00:06:18,2420.8945,etcusdt
9,2019-10-27 00:06:19,6442.7939,ethbtc
10,2019-10-27 00:06:24,0.2442,mcoeth
12,2019-10-27 00:06:26,6347.1703,btcusdt
10,2019-10-27 00:06:34,2618.7061,ltcbtc
11,2019-10-27 00:06:38,14.9753,gntusdt
11,2019-10-27 00:06:42,1384.7538,ltcusdt
10,2019-10-27 00:06:47,4.6417,aeeth
10,2019-10-27 00:06:49,25.6286,wtceth
11,2019-10-27 00:06:50,262.893,etcusdt
11,2019-10-27 00:06:51,87.191,zrxusdt
10,2019-10-27 00:06:52,387.8358,omgusdt
10,2019-10-27 00:06:56,9659.3271,ethusdt
13,2019-10-27 00:06:59,24505.6488,btcusdt
11,2019-10-27 00:07:00,0.577,mcoeth
10,2019-10-27 00:07:02,1149.3081,ethbtc
11,2019-10-27 00:07:10,27.1132,ltcbtc
12,2019-10-27 00:07:13,4.1024,gntusdt
12,2019-10-27 00:07:20,477.2374,etcusdt
11,2019-10-27 00:07:22,3.1747,wtceth
11,2019-10-27 00:07:24,4.5071,aeeth
12,2019-10-27 00:07:24,2967.4246,ltcusdt
12,2019-10-27 00:07:25,0.2158,mcoeth
12,2019-10-27 00:07:26,89.8072,zrxusdt
11,2019-10-27 00:07:30,1911.1603,omgusdt
14,2019-10-27 00:07:31,21089.1514,btcusdt
11,2019-10-27 00:07:32,7642.0898,ethusdt
13,2019-10-27 00:07:39,6.844,gntusdt
11,2019-10-27 00:07:45,7736.0481,ethbtc
12,2019-10-27 00:07:50,3.9852,aeeth
12,2019-10-27 00:07:53,3275.0536,ltcbtc
13,2019-10-27 00:07:58,2248.1773,etcusdt
12,2019-10-27 00:07:58,25.8101,wtceth
13,2019-10-27 00:08:02,3130.0619,ltcusdt
13,2019-10-27 00:08:03,94.8268,zrxusdt
13,2019-10-27 00:08:08,0.1137,mcoeth
15,2019-10-27 00:08:11,31281.3375,btcusdt
14,2019-10-27 00:08:13,12.2182,gntusdt
12,2019-10-27 00:08:15,601.977,omgusdt
12,2019-10-27 00:08:15,4431.1317,ethusdt
14,2019-10-27 00:08:24,46.6816,etcusdt
12,2019-10-27 00:08:25,4678.0434,ethbtc
13,2019-10-27 00:08:30,5.4548,aeeth
13,2019-10-27 00:08:34,19.4807,wtceth
13,2019-10-27 00:08:37,1443.3376,ltcbtc
15,2019-10-27 00:08:39,16.1832,gntusdt
16,2019-10-27 00:08:43,12264.8565,btcusdt
14,2019-10-27 00:08:44,3619.56,ltcusdt
14,2019-10-27 00:08:45,91.3318,zrxusdt
14,2019-10-27 00:08:45,0.3882,mcoeth
13,2019-10-27 00:08:57,2097.4518,omgusdt
14,2019-10-27 00:08:59,1.3446,aeeth
15,2019-10-27 00:08:59,1558.3782,etcusdt
14,2019-10-27 00:08:59,39.7479,wtceth
13,2019-10-27 00:09:00,9027.7858,ethusdt
13,2019-10-27 00:09:01,7474.0301,ethbtc
16,2019-10-27 00:09:10,17.9838,gntusdt
14,2019-10-27 00:09:20,76.0083,ltcbtc
17,2019-10-27 00:09:20,2824.7171,btcusdt
15,2019-10-27 00:09:23,25.9902,zrxusdt
15,2019-10-27 00:09:25,3454.3717,ltcusdt
15,2019-10-27 00:09:27,0.135,mcoeth
16,2019-10-27 00:09:27,244.4151,etcusdt
14,2019-10-27 00:09:31,1851.3079,omgusdt
15,2019-10-27 00:09:34,1.2297,aeeth
14,2019-10-27 00:09:34,7639.2948,ethbtc
14,2019-10-27 00:09:37,8110.6054,ethusdt
15,2019-10-27 00:09:44,35.9575,wtceth
18,2019-10-27 00:09:48,13767.3188,btcusdt
15,2019-10-27 00:09:49,880.4575,ltcbtc
17,2019-10-27 00:09:49,13.1423,gntusdt
17,2019-10-27 00:09:59,1578.9214,etcusdt
16,2019-10-27 00:10:02,0.5283,mcoeth
16,2019-10-27 00:10:02,3001.4588,ltcusdt
16,2019-10-27 00:10:04,45.2594,zrxusdt
15,2019-10-27 00:10:05,1902.1248,omgusdt
15,2019-10-27 00:10:10,976.7369,ethbtc
16,2019-10-27 00:10:14,1.0067,aeeth
15,2019-10-27 00:10:14,9833.9452,ethusdt
19,2019-10-27 00:10:21,20702.6044,btcusdt
16,2019-10-27 00:10:23,30.26,wtceth
18,2019-10-27 00:10:24,657.5408,etcusdt
16,2019-10-27 00:10:26,638.2652,ltcbtc
17,2019-10-27 00:10:29,0.3095,mcoeth
18,2019-10-27 00:10:34,17.6185,gntusdt
17,2019-10-27 00:10:36,96.6701,zrxusdt
16,2019-10-27 00:10:37,2226.3444,omgusdt
17,2019-10-27 00:10:40,896.4565,ltcusdt
16,2019-10-27 00:10:42,4220.2725,ethusdt
17,2019-10-27 00:10:45,4.6584,aeeth
20,2019-10-27 00:10:48,28215.1485,btcusdt
16,2019-10-27 00:10:50,3331.0067,ethbtc
19,2019-10-27 00:10:52,2455.5597,etcusdt
18,2019-10-27 00:11:01,0.6981,mcoeth
17,2019-10-27 00:11:05,27.5071,wtceth
17,2019-10-27 00:11:07,2277.9637,ltcbtc
18,2019-10-27 00:11:08,4127.7397,ltcusdt
18,2019-10-27 00:11:08,49.4398,zrxusdt
19,2019-10-27 00:11:10,4.4776,gntusdt
17,2019-10-27 00:11:10,1288.4382,ethusdt
17,2019-10-27 00:11:16,1134.7378,omgusdt
18,2019-10-27 00:11:20,0.8476,aeeth
20,2019-10-27 00:11:20,1634.0364,etcusdt
17,2019-10-27 00:11:29,1443.1473,ethbtc
21,2019-10-27 00:11:31,13642.9103,btcusdt
19,2019-10-27 00:11:31,0.379,mcoeth
19,2019-10-27 00:11:37,2121.572,ltcusdt
18,2019-10-27 00:11:38,78.685,ethusdt
18,2019-10-27 00:11:39,16.7092,wtceth
19,2019-10-27 00:11:41,34.6927,zrxusdt
18,2019-10-27 00:11:41,1517.4332,ltcbtc
20,2019-10-27 00:11:43,8.2123,gntusdt
21,2019-10-27 00:11:51,1837.6276,etcusdt
18,2019-10-27 00:11:56,2103.424,omgusdt
19,2019-10-27 00:12:00,6.2289,aeeth
20,2019-10-27 00:12:04,0.6388,mcoeth
19,2019-10-27 00:12:05,426.0574,ethusdt
20,2019-10-27 00:12:06,61.576,zrxusdt
19,2019-10-27 00:12:07,29.9637,wtceth
18,2019-10-27 00:12:13,350.4643,ethbtc
20,2019-10-27 00:12:15,402.7482,ltcusdt
22,2019-10-27 00:12:15,5526.6321,btcusdt
19,2019-10-27 00:12:26,2724.069,ltcbtc
21,2019-10-27 00:12:27,15.9916,gntusdt
19,2019-10-27 00:12:33,1647.6279,omgusdt
20,2019-10-27 00:12:33,2.9613,aeeth
22,2019-10-27 00:12:34,2767.7127,etcusdt
21,2019-10-27 00:12:35,48.0962,zrxusdt
20,2019-10-27 00:12:38,14.2799,wtceth
21,2019-10-27 00:12:38,0.5583,mcoeth
20,2019-10-27 00:12:39,7309.1838,ethusdt
19,2019-10-27 00:12:47,4224.5367,ethbtc
20,2019-10-27 00:12:58,2656.5989,ltcbtc
23,2019-10-27 00:12:59,4332.5774,btcusdt
21,2019-10-27 00:13:00,1601.4009,ltcusdt
23,2019-10-27 00:13:03,1569.1278,etcusdt
22,2019-10-27 00:13:04,19.9153,gntusdt
21,2019-10-27 00:13:05,9146.1787,ethusdt
21,2019-10-27 00:13:05,4.6341,aeeth
22,2019-10-27 00:13:11,73.5508,zrxusdt
20,2019-10-27 00:13:14,633.548,omgusdt
21,2019-10-27 00:13:15,10.2903,wtceth
22,2019-10-27 00:13:16,0.3938,mcoeth
20,2019-10-27 00:13:26,2780.0731,ethbtc
22,2019-10-27 00:13:27,3778.496,ltcusdt
21,2019-10-27 00:13:30,2981.5539,ltcbtc
24,2019-10-27 00:13:31,21103.3064,btcusdt
23,2019-10-27 00:13:34,1.3968,gntusdt
22,2019-10-27 00:13:36,6.3643,aeeth
22,2019-10-27 00:13:39,871.5443,ethusdt
24,2019-10-27 00:13:41,1195.1336,etcusdt
21,2019-10-27 00:13:47,1675.156,omgusdt
22,2019-10-27 00:13:53,25.2918,wtceth
22,2019-10-27 00:13:55,1792.2628,ltcbtc
21,2019-10-27 00:13:56,1636.8671,ethbtc
23,2019-10-27 00:13:56,5.7704,zrxusdt
23,2019-10-27 00:13:59,0.5378,mcoeth
