,Time,Amount,Code
0,2019-07-25 00:00:26,9.9852,aeeth
0,2019-07-25 00:00:30,1524.4086,ltcbtc
0,2019-07-25 00:00:31,8.4514,wtceth
0,2019-07-25 00:00:31,478.5343,ethusdt
0,2019-07-25 00:00:32,1.1339,mcoeth
0,2019-07-25 00:00:33,3997.5545,etcusdt
0,2019-07-25 00:00:38,5178.8072,omgusdt
0,2019-07-25 00:00:39,22.7263,gntusdt
0,2019-07-25 00:00:39,9111.8426,ethbtc
0,2019-07-25 00:00:41,172.5713,zrxusdt
0,2019-07-25 00:00:43,93585.2019,btcusdt
0,2019-07-25 00:00:44,6451.6247,ltcusdt
1,2019-07-25 00:01:01,1509.8603,ltcbtc
1,2019-07-25 00:01:02,81.3623,wtceth
1,2019-07-25 00:01:07,3338.2906,ethbtc
1,2019-07-25 00:01:08,53032.3813,btcusdt
1,2019-07-25 00:01:09,18.991,aeeth
1,2019-07-25 00:01:09,150.7685,zrxusdt
1,2019-07-25 00:01:12,4249.5789,ethusdt
1,2019-07-25 00:01:13,0.0731,mcoeth
1,2019-07-25 00:01:16,2016.4994,ltcusdt
1,2019-07-25 00:01:16,509.8743,etcusdt
1,2019-07-25 00:01:19,39.8136,gntusdt
1,2019-07-25 00:01:20,738.9197,omgusdt
2,2019-07-25 00:01:30,95.643,wtceth
2,2019-07-25 00:01:36,5767.2699,ltcbtc
2,2019-07-25 00:01:40,132.8658,zrxusdt
2,2019-07-25 00:01:40,1964.4002,ethbtc
2,2019-07-25 00:01:41,0.4732,mcoeth
2,2019-07-25 00:01:44,18.4826,gntusdt
2,2019-07-25 00:01:45,2532.8855,etcusdt
2,2019-07-25 00:01:50,6.1808,aeeth
2,2019-07-25 00:01:53,14540.1106,btcusdt
2,2019-07-25 00:01:57,8926.9442,ethusdt
2,2019-07-25 00:01:58,7354.9792,ltcusdt
3,2019-07-25 00:01:58,0.1636,wtceth
2,2019-07-25 00:01:58,5003.0234,omgusdt
3,2019-07-25 00:02:15,24.8054,gntusdt
3,2019-07-25 00:02:16,714.9823,ltcbtc
3,2019-07-25 00:02:16,3334.7686,etcusdt
3,2019-07-25 00:02:17,185.431,zrxusdt
3,2019-07-25 00:02:19,1.0724,mcoeth
3,2019-07-25 00:02:25,3682.7981,ethbtc
3,2019-07-25 00:02:25,2510.4506,omgusdt
3,2019-07-25 00:02:26,6881.0508,ltcusdt
3,2019-07-25 00:02:30,12407.1402,ethusdt
3,2019-07-25 00:02:32,29117.9841,btcusdt
3,2019-07-25 00:02:32,16.0165,aeeth
4,2019-07-25 00:02:33,46.6414,wtceth
4,2019-07-25 00:02:44,1.4155,mcoeth
4,2019-07-25 00:02:45,3071.6059,etcusdt
4,2019-07-25 00:02:50,5037.6999,omgusdt
4,2019-07-25 00:02:57,731.8586,ltcbtc
4,2019-07-25 00:02:57,0.2506,aeeth
4,2019-07-25 00:02:57,1373.2776,ltcusdt
4,2019-07-25 00:02:57,49.0151,zrxusdt
4,2019-07-25 00:03:00,0.5964,gntusdt
4,2019-07-25 00:03:04,1968.1749,ethbtc
4,2019-07-25 00:03:12,19495.3403,ethusdt
5,2019-07-25 00:03:12,4396.2024,etcusdt
5,2019-07-25 00:03:12,15.7374,wtceth
4,2019-07-25 00:03:17,82680.5282,btcusdt
5,2019-07-25 00:03:22,5.301,aeeth
5,2019-07-25 00:03:25,0.1512,mcoeth
5,2019-07-25 00:03:29,5447.5692,omgusdt
5,2019-07-25 00:03:29,7215.0205,ltcusdt
5,2019-07-25 00:03:36,23.6905,gntusdt
5,2019-07-25 00:03:36,132.3487,zrxusdt
5,2019-07-25 00:03:40,3212.3999,ltcbtc
5,2019-07-25 00:03:41,11284.281,ethbtc
6,2019-07-25 00:03:53,17.5036,wtceth
6,2019-07-25 00:03:55,4492.5201,etcusdt
5,2019-07-25 00:03:57,16354.266,ethusdt
5,2019-07-25 00:03:59,3962.9204,btcusdt
6,2019-07-25 00:04:00,0.0374,aeeth
6,2019-07-25 00:04:02,165.7641,zrxusdt
6,2019-07-25 00:04:04,29.1192,gntusdt
6,2019-07-25 00:04:07,4728.562,ltcbtc
6,2019-07-25 00:04:07,0.0464,mcoeth
6,2019-07-25 00:04:10,5907.6527,ltcusdt
6,2019-07-25 00:04:11,18758.9827,ethbtc
6,2019-07-25 00:04:14,707.2388,omgusdt
7,2019-07-25 00:04:20,3106.8317,etcusdt
6,2019-07-25 00:04:22,3018.5213,ethusdt
7,2019-07-25 00:04:22,31.4217,wtceth
6,2019-07-25 00:04:29,68795.6486,btcusdt
7,2019-07-25 00:04:37,21.597,gntusdt
7,2019-07-25 00:04:40,0.9836,mcoeth
7,2019-07-25 00:04:40,4299.5057,ltcbtc
7,2019-07-25 00:04:40,16.9764,aeeth
7,2019-07-25 00:04:46,44.6166,zrxusdt
7,2019-07-25 00:04:48,9345.1529,ethbtc
8,2019-07-25 00:04:53,4228.988,etcusdt
7,2019-07-25 00:04:54,7183.5007,ltcusdt
7,2019-07-25 00:04:54,8237.0499,ethusdt
7,2019-07-25 00:04:57,6093.2399,omgusdt
8,2019-07-25 00:05:03,88.806,wtceth
8,2019-07-25 00:05:03,9.6839,gntusdt
8,2019-07-25 00:05:11,182.5752,zrxusdt
8,2019-07-25 00:05:13,810.2022,ethbtc
7,2019-07-25 00:05:13,45299.9543,btcusdt
8,2019-07-25 00:05:14,5209.5381,ltcbtc
8,2019-07-25 00:05:15,14.0377,aeeth
9,2019-07-25 00:05:21,3942.1779,etcusdt
8,2019-07-25 00:05:23,6640.4268,omgusdt
8,2019-07-25 00:05:24,0.5721,mcoeth
9,2019-07-25 00:05:28,24.8957,gntusdt
9,2019-07-25 00:05:29,85.7367,wtceth
8,2019-07-25 00:05:30,704.1276,ltcusdt
8,2019-07-25 00:05:31,2732.6756,ethusdt
9,2019-07-25 00:05:45,1.1277,aeeth
8,2019-07-25 00:05:48,71278.2437,btcusdt
9,2019-07-25 00:05:51,13984.1344,ethbtc
9,2019-07-25 00:05:54,4176.2037,ltcbtc
9,2019-07-25 00:05:55,139.9108,zrxusdt
10,2019-07-25 00:05:56,5105.8077,etcusdt
10,2019-07-25 00:05:57,34.6732,gntusdt
10,2019-07-25 00:05:58,26.927,wtceth
9,2019-07-25 00:06:03,2497.9044,omgusdt
9,2019-07-25 00:06:08,609.2772,ltcusdt
9,2019-07-25 00:06:09,0.5496,mcoeth
9,2019-07-25 00:06:09,10922.7005,ethusdt
9,2019-07-25 00:06:20,13132.6671,btcusdt
10,2019-07-25 00:06:22,2382.6954,ltcbtc
11,2019-07-25 00:06:25,33.648,gntusdt
10,2019-07-25 00:06:25,3.1708,aeeth
11,2019-07-25 00:06:25,69.0222,wtceth
10,2019-07-25 00:06:26,81.9181,zrxusdt
10,2019-07-25 00:06:29,5345.0611,ethbtc
10,2019-07-25 00:06:34,12992.9695,ethusdt
10,2019-07-25 00:06:36,1.4762,mcoeth
11,2019-07-25 00:06:38,4260.4812,etcusdt
10,2019-07-25 00:06:44,678.7224,omgusdt
10,2019-07-25 00:06:53,480.5591,ltcusdt
11,2019-07-25 00:06:55,4.128,aeeth
11,2019-07-25 00:06:58,120.3602,zrxusdt
11,2019-07-25 00:07:01,0.4493,mcoeth
11,2019-07-25 00:07:01,5022.0833,ltcbtc
11,2019-07-25 00:07:02,3212.6578,ethusdt
12,2019-07-25 00:07:02,79.2023,wtceth
10,2019-07-25 00:07:04,50906.2564,btcusdt
12,2019-07-25 00:07:05,6.5649,gntusdt
11,2019-07-25 00:07:06,18547.8514,ethbtc
12,2019-07-25 00:07:13,113.6432,etcusdt
11,2019-07-25 00:07:25,296.9663,omgusdt
12,2019-07-25 00:07:29,4872.6219,ltcbtc
12,2019-07-25 00:07:29,219.662,zrxusdt
13,2019-07-25 00:07:30,85.5705,wtceth
12,2019-07-25 00:07:31,4.688,aeeth
11,2019-07-25 00:07:32,57418.4165,btcusdt
12,2019-07-25 00:07:34,0.7046,mcoeth
12,2019-07-25 00:07:35,19037.1968,ethusdt
13,2019-07-25 00:07:36,29.7563,gntusdt
11,2019-07-25 00:07:37,245.2216,ltcusdt
12,2019-07-25 00:07:37,5751.3107,ethbtc
13,2019-07-25 00:07:42,868.3096,etcusdt
14,2019-07-25 00:07:59,87.5416,wtceth
12,2019-07-25 00:08:03,74155.5137,btcusdt
13,2019-07-25 00:08:03,0.8669,mcoeth
13,2019-07-25 00:08:04,10.7746,zrxusdt
12,2019-07-25 00:08:05,566.3299,omgusdt
13,2019-07-25 00:08:08,13165.0028,ethusdt
12,2019-07-25 00:08:08,7137.0284,ltcusdt
14,2019-07-25 00:08:09,29.4658,gntusdt
13,2019-07-25 00:08:13,11.0236,aeeth
13,2019-07-25 00:08:14,4772.4864,ltcbtc
13,2019-07-25 00:08:15,10718.9989,ethbtc
14,2019-07-25 00:08:22,1962.5923,etcusdt
15,2019-07-25 00:08:30,32.2136,wtceth
13,2019-07-25 00:08:33,6001.8038,ltcusdt
13,2019-07-25 00:08:34,93404.6421,btcusdt
13,2019-07-25 00:08:39,2348.6599,omgusdt
14,2019-07-25 00:08:42,2615.453,ethusdt
14,2019-07-25 00:08:43,0.5967,mcoeth
14,2019-07-25 00:08:43,156.6769,zrxusdt
15,2019-07-25 00:08:49,3.2187,gntusdt
14,2019-07-25 00:08:49,18.5163,aeeth
14,2019-07-25 00:08:53,3623.2782,ethbtc
14,2019-07-25 00:08:58,3882.9184,ltcbtc
14,2019-07-25 00:09:03,1085.0685,ltcusdt
15,2019-07-25 00:09:04,4603.6546,etcusdt
14,2019-07-25 00:09:06,64044.2871,btcusdt
15,2019-07-25 00:09:12,0.4159,mcoeth
16,2019-07-25 00:09:14,22.6353,wtceth
14,2019-07-25 00:09:14,3767.4259,omgusdt
16,2019-07-25 00:09:22,33.0213,gntusdt
15,2019-07-25 00:09:24,224.0323,zrxusdt
15,2019-07-25 00:09:25,5406.7849,ethusdt
15,2019-07-25 00:09:28,8.6956,aeeth
15,2019-07-25 00:09:30,17713.1019,ethbtc
16,2019-07-25 00:09:36,4996.4228,etcusdt
15,2019-07-25 00:09:37,5861.9783,ltcbtc
17,2019-07-25 00:09:40,73.2726,wtceth
15,2019-07-25 00:09:41,7435.5654,ltcusdt
15,2019-07-25 00:09:47,3700.3812,omgusdt
17,2019-07-25 00:09:49,2.0555,gntusdt
15,2019-07-25 00:09:51,65801.6426,btcusdt
16,2019-07-25 00:09:53,18.8825,zrxusdt
16,2019-07-25 00:09:53,12.8181,aeeth
16,2019-07-25 00:09:54,0.7803,mcoeth
16,2019-07-25 00:09:55,13170.5374,ethusdt
16,2019-07-25 00:10:03,5146.5969,ltcbtc
18,2019-07-25 00:10:10,13.5,wtceth
17,2019-07-25 00:10:12,992.3594,etcusdt
16,2019-07-25 00:10:15,795.1795,ethbtc
16,2019-07-25 00:10:17,6977.1317,ltcusdt
17,2019-07-25 00:10:22,19049.4172,ethusdt
17,2019-07-25 00:10:23,128.3573,zrxusdt
18,2019-07-25 00:10:29,23.2816,gntusdt
17,2019-07-25 00:10:29,2.0899,aeeth
16,2019-07-25 00:10:31,2134.0529,omgusdt
16,2019-07-25 00:10:36,74731.1534,btcusdt
19,2019-07-25 00:10:37,62.3636,wtceth
17,2019-07-25 00:10:37,1.391,mcoeth
17,2019-07-25 00:10:38,2795.9534,ltcbtc
17,2019-07-25 00:10:43,5536.717,ethbtc
