,Time,Amount,Code
0,2019-04-10 00:00:26,0.3144,wtceth
0,2019-04-10 00:00:28,8.3476,zrxusdt
0,2019-04-10 00:00:30,1381.9096,ethbtc
0,2019-04-10 00:00:31,1.1655,gntusdt
0,2019-04-10 00:00:32,0.1985,mcoeth
0,2019-04-10 00:00:34,229.4658,ltcbtc
0,2019-04-10 00:00:35,1.6134,aeeth
0,2019-04-10 00:00:41,616.8407,omgusdt
0,2019-04-10 00:00:42,787.6379,ltcusdt
0,2019-04-10 00:00:43,11839.9859,btcusdt
0,2019-04-10 00:00:44,349.9815,etcusdt
0,2019-04-10 00:00:44,703.6757,ethusdt
1,2019-04-10 00:00:55,1.3123,wtceth
1,2019-04-10 00:00:58,1.1437,gntusdt
1,2019-04-10 00:01:08,3275.4345,ethbtc
1,2019-04-10 00:01:11,16.9291,zrxusdt
1,2019-04-10 00:01:11,753.902,ltcbtc
1,2019-04-10 00:01:11,0.014,mcoeth
1,2019-04-10 00:01:14,1922.0446,btcusdt
1,2019-04-10 00:01:15,1.0964,aeeth
1,2019-04-10 00:01:20,450.1692,omgusdt
1,2019-04-10 00:01:21,854.0492,etcusdt
2,2019-04-10 00:01:23,0.3351,gntusdt
1,2019-04-10 00:01:24,192.4617,ltcusdt
1,2019-04-10 00:01:26,2983.9596,ethusdt
2,2019-04-10 00:01:32,8.0314,wtceth
2,2019-04-10 00:01:37,2859.1592,ethbtc
2,2019-04-10 00:01:45,387.0626,omgusdt
2,2019-04-10 00:01:46,719.6483,etcusdt
2,2019-04-10 00:01:50,357.3115,ltcbtc
2,2019-04-10 00:01:50,0.1289,mcoeth
2,2019-04-10 00:01:52,268.008,ethusdt
2,2019-04-10 00:01:54,1219.1278,ltcusdt
2,2019-04-10 00:01:55,7.2616,zrxusdt
2,2019-04-10 00:01:56,1902.5695,btcusdt
2,2019-04-10 00:01:57,0.959,aeeth
3,2019-04-10 00:02:03,1822.294,ethbtc
3,2019-04-10 00:02:05,0.494,gntusdt
3,2019-04-10 00:02:15,9.633,wtceth
3,2019-04-10 00:02:18,1513.9379,ethusdt
3,2019-04-10 00:02:24,751.8348,etcusdt
3,2019-04-10 00:02:24,0.1318,mcoeth
3,2019-04-10 00:02:27,171.2998,omgusdt
4,2019-04-10 00:02:28,1377.2979,ethbtc
3,2019-04-10 00:02:28,0.8511,aeeth
3,2019-04-10 00:02:29,9.9826,zrxusdt
3,2019-04-10 00:02:30,1047.7552,ltcbtc
3,2019-04-10 00:02:31,534.1786,ltcusdt
3,2019-04-10 00:02:41,5120.673,btcusdt
4,2019-04-10 00:02:42,5.2576,gntusdt
4,2019-04-10 00:02:45,740.2328,ethusdt
4,2019-04-10 00:02:45,0.4672,wtceth
4,2019-04-10 00:02:52,299.4913,omgusdt
5,2019-04-10 00:02:55,3275.03,ethbtc
4,2019-04-10 00:02:55,1.4774,aeeth
4,2019-04-10 00:02:59,559.3085,ltcusdt
4,2019-04-10 00:03:02,587.8066,etcusdt
4,2019-04-10 00:03:04,0.0847,mcoeth
5,2019-04-10 00:03:10,13.1421,wtceth
4,2019-04-10 00:03:13,17.9037,zrxusdt
4,2019-04-10 00:03:15,125.3955,ltcbtc
5,2019-04-10 00:03:17,3.1319,gntusdt
5,2019-04-10 00:03:21,3741.7254,ethusdt
4,2019-04-10 00:03:26,1354.3154,btcusdt
5,2019-04-10 00:03:30,544.4733,omgusdt
6,2019-04-10 00:03:38,2971.7096,ethbtc
5,2019-04-10 00:03:39,1.6675,aeeth
5,2019-04-10 00:03:39,26.8652,zrxusdt
5,2019-04-10 00:03:41,549.4187,ltcusdt
5,2019-04-10 00:03:41,0.1876,mcoeth
6,2019-04-10 00:03:42,5.2702,wtceth
5,2019-04-10 00:03:43,105.9491,etcusdt
5,2019-04-10 00:03:47,793.9992,ltcbtc
6,2019-04-10 00:03:57,82.3523,omgusdt
6,2019-04-10 00:03:57,4.7081,gntusdt
5,2019-04-10 00:03:58,7807.019,btcusdt
6,2019-04-10 00:04:01,590.3387,ethusdt
6,2019-04-10 00:04:05,25.0901,zrxusdt
7,2019-04-10 00:04:13,2721.4843,ethbtc
6,2019-04-10 00:04:13,415.9491,etcusdt
6,2019-04-10 00:04:24,1.9454,aeeth
6,2019-04-10 00:04:24,1027.8622,ltcusdt
7,2019-04-10 00:04:26,13.49,wtceth
7,2019-04-10 00:04:26,3233.8634,ethusdt
6,2019-04-10 00:04:26,0.1222,mcoeth
6,2019-04-10 00:04:31,560.265,ltcbtc
7,2019-04-10 00:04:32,245.362,omgusdt
7,2019-04-10 00:04:33,3.8508,gntusdt
6,2019-04-10 00:04:36,2158.6685,btcusdt
7,2019-04-10 00:04:39,31.0034,zrxusdt
7,2019-04-10 00:04:40,161.5172,etcusdt
7,2019-04-10 00:04:54,2.3747,aeeth
8,2019-04-10 00:04:55,2260.4531,ethbtc
7,2019-04-10 00:04:59,0.1927,mcoeth
7,2019-04-10 00:05:02,168.9394,ltcusdt
8,2019-04-10 00:05:09,12.664,wtceth
8,2019-04-10 00:05:09,279.822,omgusdt
8,2019-04-10 00:05:10,3264.6555,ethusdt
7,2019-04-10 00:05:10,1013.3666,ltcbtc
8,2019-04-10 00:05:11,36.5018,zrxusdt
8,2019-04-10 00:05:12,4.1997,gntusdt
7,2019-04-10 00:05:16,11117.9042,btcusdt
8,2019-04-10 00:05:21,120.706,etcusdt
8,2019-04-10 00:05:31,1.7503,aeeth
9,2019-04-10 00:05:34,605.2176,omgusdt
8,2019-04-10 00:05:35,0.1651,mcoeth
9,2019-04-10 00:05:37,13.3774,zrxusdt
9,2019-04-10 00:05:40,2815.3392,ethbtc
9,2019-04-10 00:05:43,3.2593,gntusdt
9,2019-04-10 00:05:43,405.095,ethusdt
8,2019-04-10 00:05:44,669.6966,ltcusdt
8,2019-04-10 00:05:46,14953.1047,btcusdt
9,2019-04-10 00:05:46,9.7102,wtceth
8,2019-04-10 00:05:54,779.0522,ltcbtc
9,2019-04-10 00:06:01,2.6782,aeeth
10,2019-04-10 00:06:05,307.6793,omgusdt
10,2019-04-10 00:06:05,17.7941,zrxusdt
