,Time,Amount,Code
0,2020-01-14 00:00:25,8588.3146,ethusdt
0,2020-01-14 00:00:27,1.3818,zrxusdt
0,2020-01-14 00:00:29,4834.1962,ltcusdt
0,2020-01-14 00:00:32,1901.1067,omgusdt
0,2020-01-14 00:00:32,2699.1843,ltcbtc
0,2020-01-14 00:00:34,0.3179,mcoeth
0,2020-01-14 00:00:39,1806.338,etcusdt
0,2020-01-14 00:00:40,8.6732,gntusdt
0,2020-01-14 00:00:40,4301.8245,ethbtc
0,2020-01-14 00:00:42,4.6536,aeeth
0,2020-01-14 00:00:43,38746.0546,btcusdt
0,2020-01-14 00:00:43,53.6894,wtceth
1,2020-01-14 00:00:51,13178.3499,ethusdt
1,2020-01-14 00:01:01,5224.2616,ltcbtc
1,2020-01-14 00:01:02,0.8642,mcoeth
1,2020-01-14 00:01:02,428.8054,omgusdt
1,2020-01-14 00:01:05,23.541,gntusdt
1,2020-01-14 00:01:08,1299.0068,ltcusdt
1,2020-01-14 00:01:10,180.7929,zrxusdt
1,2020-01-14 00:01:10,10.9571,aeeth
1,2020-01-14 00:01:12,990.6148,etcusdt
1,2020-01-14 00:01:16,880.6377,ethbtc
1,2020-01-14 00:01:19,9.0404,wtceth
1,2020-01-14 00:01:24,31722.7877,btcusdt
2,2020-01-14 00:01:24,8524.2172,ethusdt
2,2020-01-14 00:01:36,0.8198,mcoeth
2,2020-01-14 00:01:37,13.2873,gntusdt
2,2020-01-14 00:01:44,4218.4361,ltcbtc
2,2020-01-14 00:01:46,2705.7974,omgusdt
2,2020-01-14 00:01:47,1878.4455,etcusdt
2,2020-01-14 00:01:48,104.2651,zrxusdt
2,2020-01-14 00:01:51,2360.0391,ltcusdt
2,2020-01-14 00:01:52,8.0746,aeeth
2,2020-01-14 00:01:52,16418.9803,ethbtc
2,2020-01-14 00:01:56,47.9575,wtceth
3,2020-01-14 00:01:57,8870.8143,ethusdt
3,2020-01-14 00:02:01,0.328,mcoeth
2,2020-01-14 00:02:08,45950.9126,btcusdt
3,2020-01-14 00:02:09,16.1118,gntusdt
3,2020-01-14 00:02:13,108.3135,zrxusdt
3,2020-01-14 00:02:20,682.3452,ltcbtc
3,2020-01-14 00:02:22,1248.7399,ltcusdt
4,2020-01-14 00:02:22,10562.0868,ethusdt
3,2020-01-14 00:02:25,14.2252,aeeth
3,2020-01-14 00:02:28,855.4764,omgusdt
3,2020-01-14 00:02:28,4484.5975,ethbtc
3,2020-01-14 00:02:29,53.8039,wtceth
4,2020-01-14 00:02:30,0.6667,mcoeth
3,2020-01-14 00:02:32,3334.6794,etcusdt
3,2020-01-14 00:02:48,47178.5341,btcusdt
4,2020-01-14 00:02:49,19.5323,gntusdt
