,Time,Amount,Code
0,2019-07-06 00:00:27,4484.3379,btcusdt
0,2019-07-06 00:00:28,10179.5138,ethusdt
0,2019-07-06 00:00:31,6.8797,aeeth
0,2019-07-06 00:00:31,0.5775,mcoeth
0,2019-07-06 00:00:33,43.5415,wtceth
0,2019-07-06 00:00:34,2633.901,omgusdt
0,2019-07-06 00:00:34,1292.4537,etcusdt
0,2019-07-06 00:00:35,3707.8559,ltcbtc
0,2019-07-06 00:00:40,2308.9262,ethbtc
0,2019-07-06 00:00:40,4.1634,gntusdt
0,2019-07-06 00:00:42,1582.7023,ltcusdt
0,2019-07-06 00:00:45,140.221,zrxusdt
1,2019-07-06 00:00:57,0.537,aeeth
1,2019-07-06 00:01:00,1387.7561,ltcbtc
1,2019-07-06 00:01:01,899.7636,omgusdt
1,2019-07-06 00:01:03,41733.1353,btcusdt
1,2019-07-06 00:01:08,21.2073,gntusdt
1,2019-07-06 00:01:09,0.4665,mcoeth
1,2019-07-06 00:01:10,3190.8352,ethusdt
1,2019-07-06 00:01:15,35.4896,wtceth
1,2019-07-06 00:01:16,1547.3164,etcusdt
1,2019-07-06 00:01:22,5184.0265,ethbtc
1,2019-07-06 00:01:26,3321.9394,ltcusdt
1,2019-07-06 00:01:28,22.8871,zrxusdt
2,2019-07-06 00:01:34,981.5246,ltcbtc
2,2019-07-06 00:01:37,7077.434,ethusdt
2,2019-07-06 00:01:38,2830.3355,omgusdt
2,2019-07-06 00:01:41,7.282,aeeth
2,2019-07-06 00:01:41,105.1607,etcusdt
2,2019-07-06 00:01:43,14.4026,gntusdt
2,2019-07-06 00:01:44,4503.1719,btcusdt
2,2019-07-06 00:01:49,4090.7942,ethbtc
2,2019-07-06 00:01:50,38.5241,wtceth
2,2019-07-06 00:01:50,0.5483,mcoeth
2,2019-07-06 00:01:51,1036.4332,ltcusdt
3,2019-07-06 00:02:01,3663.5859,ltcbtc
3,2019-07-06 00:02:06,5.8867,aeeth
3,2019-07-06 00:02:06,386.2628,etcusdt
2,2019-07-06 00:02:07,54.1528,zrxusdt
3,2019-07-06 00:02:08,7.7599,gntusdt
3,2019-07-06 00:02:14,12841.8113,ethusdt
3,2019-07-06 00:02:14,1389.5021,ethbtc
3,2019-07-06 00:02:15,27.6778,wtceth
3,2019-07-06 00:02:17,37698.6409,btcusdt
3,2019-07-06 00:02:22,861.5112,omgusdt
3,2019-07-06 00:02:23,0.0783,mcoeth
3,2019-07-06 00:02:32,5163.0862,ltcusdt
4,2019-07-06 00:02:40,16.4917,gntusdt
4,2019-07-06 00:02:42,1208.7932,ltcbtc
4,2019-07-06 00:02:42,9.9947,aeeth
4,2019-07-06 00:02:45,5251.856,btcusdt
4,2019-07-06 00:02:49,7187.2601,ethbtc
4,2019-07-06 00:02:50,0.3873,mcoeth
4,2019-07-06 00:02:50,132.2157,etcusdt
3,2019-07-06 00:02:52,94.2535,zrxusdt
4,2019-07-06 00:02:57,922.3981,ethusdt
4,2019-07-06 00:02:58,41.7276,wtceth
4,2019-07-06 00:02:59,2705.9208,omgusdt
4,2019-07-06 00:03:08,1532.8084,ltcusdt
5,2019-07-06 00:03:11,1819.0237,ltcbtc
5,2019-07-06 00:03:14,10.9157,aeeth
5,2019-07-06 00:03:16,11.991,gntusdt
5,2019-07-06 00:03:19,1474.4217,etcusdt
4,2019-07-06 00:03:25,105.8493,zrxusdt
5,2019-07-06 00:03:26,22016.9901,btcusdt
