,Time,Amount,Code
0,2019-10-18 00:00:25,2328.432,etcusdt
0,2019-10-18 00:00:25,9120.8818,ethbtc
0,2019-10-18 00:00:27,21536.9137,btcusdt
0,2019-10-18 00:00:28,4.9154,gntusdt
0,2019-10-18 00:00:29,4931.1346,ltcusdt
0,2019-10-18 00:00:33,12.7241,wtceth
0,2019-10-18 00:00:37,6757.7937,ethusdt
0,2019-10-18 00:00:38,0.6783,mcoeth
0,2019-10-18 00:00:41,607.4042,omgusdt
0,2019-10-18 00:00:43,1353.179,ltcbtc
0,2019-10-18 00:00:44,67.3461,zrxusdt
0,2019-10-18 00:00:45,8.7068,aeeth
1,2019-10-18 00:00:54,3942.4827,etcusdt
1,2019-10-18 00:01:01,21.637,gntusdt
1,2019-10-18 00:01:03,7589.1899,ethbtc
1,2019-10-18 00:01:06,2417.3545,ltcusdt
1,2019-10-18 00:01:09,54.9638,wtceth
1,2019-10-18 00:01:09,1118.7935,omgusdt
1,2019-10-18 00:01:10,1.1952,mcoeth
1,2019-10-18 00:01:11,17.3052,zrxusdt
1,2019-10-18 00:01:11,23396.307,btcusdt
1,2019-10-18 00:01:11,10010.7235,ethusdt
1,2019-10-18 00:01:17,11.0061,aeeth
1,2019-10-18 00:01:19,4109.4935,ltcbtc
2,2019-10-18 00:01:31,357.3429,ltcusdt
2,2019-10-18 00:01:32,10.2825,gntusdt
2,2019-10-18 00:01:35,0.2041,mcoeth
2,2019-10-18 00:01:37,6185.167,ethusdt
2,2019-10-18 00:01:39,2961.992,etcusdt
2,2019-10-18 00:01:44,51.1492,wtceth
2,2019-10-18 00:01:46,5309.1412,ethbtc
2,2019-10-18 00:01:46,2292.0678,ltcbtc
2,2019-10-18 00:01:48,8.7675,aeeth
2,2019-10-18 00:01:49,16784.9401,btcusdt
2,2019-10-18 00:01:53,145.9051,zrxusdt
2,2019-10-18 00:01:54,978.1534,omgusdt
3,2019-10-18 00:02:03,3794.485,ltcusdt
3,2019-10-18 00:02:12,0.6907,mcoeth
3,2019-10-18 00:02:15,618.6171,ethusdt
3,2019-10-18 00:02:17,13.4787,gntusdt
3,2019-10-18 00:02:17,50.4565,wtceth
3,2019-10-18 00:02:19,2413.7609,ethbtc
3,2019-10-18 00:02:21,1044.3719,etcusdt
3,2019-10-18 00:02:23,1914.0934,ltcbtc
3,2019-10-18 00:02:24,58857.1826,btcusdt
3,2019-10-18 00:02:28,12.5428,aeeth
3,2019-10-18 00:02:30,140.746,zrxusdt
3,2019-10-18 00:02:37,443.4649,omgusdt
4,2019-10-18 00:02:41,5621.9375,ethusdt
4,2019-10-18 00:02:44,9.7485,wtceth
4,2019-10-18 00:02:46,3836.6927,ltcusdt
4,2019-10-18 00:02:47,0.5406,mcoeth
4,2019-10-18 00:02:49,8775.7498,ethbtc
4,2019-10-18 00:02:50,40404.0544,btcusdt
4,2019-10-18 00:02:56,18.0282,gntusdt
4,2019-10-18 00:02:58,1861.6181,etcusdt
4,2019-10-18 00:03:00,111.8715,zrxusdt
4,2019-10-18 00:03:01,4.0092,aeeth
4,2019-10-18 00:03:06,3101.4426,ltcbtc
