,Time,Amount,Code
0,2019-12-20 00:00:25,48646.7158,btcusdt
0,2019-12-20 00:00:26,18274.2447,ethusdt
0,2019-12-20 00:00:27,3583.2094,ltcbtc
0,2019-12-20 00:00:27,41.2377,wtceth
0,2019-12-20 00:00:27,2320.2357,omgusdt
0,2019-12-20 00:00:34,7.282,aeeth
0,2019-12-20 00:00:35,2537.0179,ltcusdt
0,2019-12-20 00:00:36,13.4348,zrxusdt
0,2019-12-20 00:00:36,462.7459,etcusdt
0,2019-12-20 00:00:37,0.6364,mcoeth
0,2019-12-20 00:00:41,14511.9318,ethbtc
0,2019-12-20 00:00:44,13.3465,gntusdt
1,2019-12-20 00:00:52,17725.5421,ethusdt
1,2019-12-20 00:00:53,834.1444,omgusdt
1,2019-12-20 00:01:01,128.4849,zrxusdt
1,2019-12-20 00:01:03,4513.9009,ltcusdt
1,2019-12-20 00:01:06,48440.6695,btcusdt
1,2019-12-20 00:01:06,0.0469,mcoeth
1,2019-12-20 00:01:11,277.8824,ltcbtc
1,2019-12-20 00:01:11,37.972,wtceth
1,2019-12-20 00:01:12,7.9957,aeeth
1,2019-12-20 00:01:17,13.5623,gntusdt
1,2019-12-20 00:01:19,10637.3945,ethbtc
1,2019-12-20 00:01:21,592.3643,etcusdt
2,2019-12-20 00:01:21,618.4878,omgusdt
2,2019-12-20 00:01:27,8217.4822,ethusdt
2,2019-12-20 00:01:28,888.2284,ltcusdt
2,2019-12-20 00:01:37,156.7021,zrxusdt
2,2019-12-20 00:01:42,33.3675,wtceth
2,2019-12-20 00:01:43,43171.8954,btcusdt
2,2019-12-20 00:01:44,1.7654,aeeth
2,2019-12-20 00:01:46,3011.5614,ltcbtc
2,2019-12-20 00:01:48,0.6853,mcoeth
3,2019-12-20 00:01:48,1503.8534,omgusdt
2,2019-12-20 00:01:50,6431.0806,ethbtc
3,2019-12-20 00:01:55,643.5892,ltcusdt
2,2019-12-20 00:01:57,21.9756,gntusdt
2,2019-12-20 00:02:02,3077.3513,etcusdt
3,2019-12-20 00:02:11,31032.3808,btcusdt
3,2019-12-20 00:02:11,6876.0659,ethusdt
3,2019-12-20 00:02:12,1598.6225,ltcbtc
3,2019-12-20 00:02:14,0.4174,wtceth
3,2019-12-20 00:02:16,6384.076,ethbtc
3,2019-12-20 00:02:20,18.4471,zrxusdt
3,2019-12-20 00:02:21,0.8122,mcoeth
4,2019-12-20 00:02:23,1582.7482,omgusdt
3,2019-12-20 00:02:24,7.5017,gntusdt
3,2019-12-20 00:02:24,6.775,aeeth
3,2019-12-20 00:02:37,2056.5835,etcusdt
4,2019-12-20 00:02:38,196.0849,ltcusdt
4,2019-12-20 00:02:49,17505.0001,ethusdt
4,2019-12-20 00:02:50,4006.4683,ltcbtc
4,2019-12-20 00:02:50,50.236,wtceth
5,2019-12-20 00:02:51,3251.8814,omgusdt
4,2019-12-20 00:02:51,1134.5759,ethbtc
4,2019-12-20 00:02:54,41672.3471,btcusdt
4,2019-12-20 00:03:00,61.6836,zrxusdt
4,2019-12-20 00:03:02,1.0317,mcoeth
4,2019-12-20 00:03:02,24.7788,gntusdt
4,2019-12-20 00:03:08,5.7626,aeeth
4,2019-12-20 00:03:08,1274.7312,etcusdt
5,2019-12-20 00:03:17,42.4661,wtceth
5,2019-12-20 00:03:20,3125.3097,ltcusdt
5,2019-12-20 00:03:20,3738.7235,ethbtc
5,2019-12-20 00:03:21,10852.8398,ethusdt
5,2019-12-20 00:03:28,21557.5773,btcusdt
6,2019-12-20 00:03:29,1113.8701,omgusdt
5,2019-12-20 00:03:30,479.0507,ltcbtc
5,2019-12-20 00:03:33,7.801,gntusdt
