,Time,Amount,Code
0,2019-11-03 00:00:25,1274.6348,ethusdt
0,2019-11-03 00:00:27,0.8456,mcoeth
0,2019-11-03 00:00:35,15.5987,gntusdt
0,2019-11-03 00:00:35,2757.16,etcusdt
0,2019-11-03 00:00:37,234.5791,ltcbtc
0,2019-11-03 00:00:39,2798.2497,omgusdt
0,2019-11-03 00:00:40,35.3812,wtceth
0,2019-11-03 00:00:42,10730.0691,ethbtc
0,2019-11-03 00:00:42,229.2661,ltcusdt
0,2019-11-03 00:00:43,12.4246,aeeth
0,2019-11-03 00:00:43,63.4387,zrxusdt
0,2019-11-03 00:00:43,30361.6721,btcusdt
1,2019-11-03 00:01:02,1760.8434,etcusdt
1,2019-11-03 00:01:06,10395.9438,ethusdt
1,2019-11-03 00:01:07,1261.5819,ltcbtc
1,2019-11-03 00:01:08,5042.1065,btcusdt
1,2019-11-03 00:01:11,1.0323,gntusdt
1,2019-11-03 00:01:12,0.3726,mcoeth
1,2019-11-03 00:01:12,374.2275,omgusdt
1,2019-11-03 00:01:15,17.5534,zrxusdt
1,2019-11-03 00:01:16,11.7315,wtceth
1,2019-11-03 00:01:16,962.8673,ltcusdt
1,2019-11-03 00:01:25,3315.5091,ethbtc
1,2019-11-03 00:01:26,10.3461,aeeth
2,2019-11-03 00:01:33,54361.1248,btcusdt
2,2019-11-03 00:01:39,1721.9797,etcusdt
2,2019-11-03 00:01:41,9.7712,gntusdt
2,2019-11-03 00:01:42,82.0603,zrxusdt
2,2019-11-03 00:01:46,6262.7935,ethusdt
2,2019-11-03 00:01:47,42.4055,wtceth
2,2019-11-03 00:01:49,0.8615,mcoeth
2,2019-11-03 00:01:51,2912.1047,ltcbtc
2,2019-11-03 00:01:54,10024.8134,ethbtc
2,2019-11-03 00:01:55,2987.5196,omgusdt
2,2019-11-03 00:01:58,2218.0001,ltcusdt
2,2019-11-03 00:02:00,4.1349,aeeth
3,2019-11-03 00:02:06,52764.9393,btcusdt
3,2019-11-03 00:02:14,8550.0675,ethusdt
3,2019-11-03 00:02:19,1231.9135,etcusdt
3,2019-11-03 00:02:20,0.3942,gntusdt
3,2019-11-03 00:02:24,51.6476,wtceth
3,2019-11-03 00:02:25,1460.504,omgusdt
3,2019-11-03 00:02:26,78.033,zrxusdt
3,2019-11-03 00:02:29,0.7422,mcoeth
3,2019-11-03 00:02:30,2487.6178,ltcbtc
3,2019-11-03 00:02:31,827.6224,ltcusdt
3,2019-11-03 00:02:39,108.9084,ethbtc
4,2019-11-03 00:02:40,24345.1748,btcusdt
3,2019-11-03 00:02:41,8.9176,aeeth
4,2019-11-03 00:02:52,7655.8537,ethusdt
4,2019-11-03 00:02:55,855.418,etcusdt
4,2019-11-03 00:02:55,793.0527,omgusdt
4,2019-11-03 00:02:56,8.6425,gntusdt
4,2019-11-03 00:02:58,85.8804,ltcbtc
4,2019-11-03 00:03:06,0.4136,mcoeth
