,Time,Amount,Code
0,2019-08-06 00:00:27,17.1336,gntusdt
0,2019-08-06 00:00:28,3770.5721,etcusdt
0,2019-08-06 00:00:33,27214.4776,btcusdt
0,2019-08-06 00:00:33,8998.9802,ltcbtc
0,2019-08-06 00:00:36,2.1027,mcoeth
0,2019-08-06 00:00:37,269.6547,zrxusdt
0,2019-08-06 00:00:37,95.2838,wtceth
0,2019-08-06 00:00:38,14042.9694,ethusdt
0,2019-08-06 00:00:38,21558.6897,ethbtc
0,2019-08-06 00:00:40,2.7642,aeeth
0,2019-08-06 00:00:43,5435.8555,ltcusdt
0,2019-08-06 00:00:44,2365.3741,omgusdt
1,2019-08-06 00:00:52,2.5256,gntusdt
1,2019-08-06 00:00:53,438.6898,etcusdt
1,2019-08-06 00:01:02,47699.4889,btcusdt
1,2019-08-06 00:01:07,1.0339,mcoeth
1,2019-08-06 00:01:09,7590.4168,ltcusdt
1,2019-08-06 00:01:10,134.2656,zrxusdt
1,2019-08-06 00:01:10,5569.6916,omgusdt
1,2019-08-06 00:01:12,27.0007,wtceth
1,2019-08-06 00:01:12,16967.7182,ethusdt
1,2019-08-06 00:01:15,24.3685,aeeth
1,2019-08-06 00:01:16,637.5222,ltcbtc
1,2019-08-06 00:01:23,19492.8901,ethbtc
2,2019-08-06 00:01:27,6860.2328,etcusdt
2,2019-08-06 00:01:34,0.2967,mcoeth
2,2019-08-06 00:01:37,31.4412,gntusdt
2,2019-08-06 00:01:39,450.7207,omgusdt
2,2019-08-06 00:01:39,98477.6569,btcusdt
2,2019-08-06 00:01:41,3937.5367,ltcusdt
2,2019-08-06 00:01:43,33.0809,wtceth
2,2019-08-06 00:01:48,156.9836,zrxusdt
3,2019-08-06 00:01:52,1819.0618,etcusdt
2,2019-08-06 00:01:56,8283.8772,ethbtc
2,2019-08-06 00:01:57,18.6342,aeeth
2,2019-08-06 00:01:57,1220.6225,ethusdt
2,2019-08-06 00:01:59,5398.1924,ltcbtc
3,2019-08-06 00:01:59,0.7744,mcoeth
3,2019-08-06 00:02:12,19.8145,gntusdt
3,2019-08-06 00:02:15,50.062,zrxusdt
3,2019-08-06 00:02:17,4192.4987,omgusdt
3,2019-08-06 00:02:22,81825.8026,btcusdt
3,2019-08-06 00:02:25,3346.5004,ltcusdt
4,2019-08-06 00:02:27,1.5481,mcoeth
3,2019-08-06 00:02:27,18239.3489,ethusdt
3,2019-08-06 00:02:27,14.2317,wtceth
3,2019-08-06 00:02:28,14518.3134,ethbtc
4,2019-08-06 00:02:35,2501.4424,etcusdt
3,2019-08-06 00:02:38,8730.5463,ltcbtc
3,2019-08-06 00:02:42,25.3834,aeeth
4,2019-08-06 00:02:55,5876.0958,ethbtc
4,2019-08-06 00:02:55,9.1994,gntusdt
4,2019-08-06 00:02:57,91.9987,wtceth
4,2019-08-06 00:02:58,1747.9817,omgusdt
5,2019-08-06 00:02:59,1.6844,mcoeth
4,2019-08-06 00:02:59,138.9908,zrxusdt
4,2019-08-06 00:03:06,10491.2057,btcusdt
4,2019-08-06 00:03:06,4609.5728,ltcusdt
4,2019-08-06 00:03:09,28823.9898,ethusdt
5,2019-08-06 00:03:09,661.542,etcusdt
4,2019-08-06 00:03:14,16.8104,aeeth
4,2019-08-06 00:03:16,8948.1685,ltcbtc
6,2019-08-06 00:03:25,2.1033,mcoeth
5,2019-08-06 00:03:26,5977.5239,omgusdt
5,2019-08-06 00:03:32,0.1256,wtceth
5,2019-08-06 00:03:34,67438.9571,btcusdt
5,2019-08-06 00:03:36,1951.737,ltcusdt
5,2019-08-06 00:03:37,9552.5914,ethbtc
5,2019-08-06 00:03:37,25037.5685,ethusdt
5,2019-08-06 00:03:39,75.1212,zrxusdt
5,2019-08-06 00:03:40,41.4336,gntusdt
5,2019-08-06 00:03:41,7445.4972,ltcbtc
5,2019-08-06 00:03:41,10.3613,aeeth
6,2019-08-06 00:03:52,4874.3039,etcusdt
6,2019-08-06 00:03:58,46.3085,wtceth
7,2019-08-06 00:03:59,0.9943,mcoeth
6,2019-08-06 00:04:02,4627.3679,omgusdt
6,2019-08-06 00:04:08,8664.9412,ltcbtc
6,2019-08-06 00:04:17,93860.4704,btcusdt
6,2019-08-06 00:04:17,121.4662,zrxusdt
6,2019-08-06 00:04:17,18784.206,ethbtc
6,2019-08-06 00:04:17,13.6175,gntusdt
6,2019-08-06 00:04:19,6844.1986,ethusdt
6,2019-08-06 00:04:20,538.302,ltcusdt
6,2019-08-06 00:04:23,24.0298,aeeth
7,2019-08-06 00:04:32,3968.7321,etcusdt
7,2019-08-06 00:04:36,20.051,wtceth
8,2019-08-06 00:04:37,1.6784,mcoeth
7,2019-08-06 00:04:38,7859.4916,ltcbtc
7,2019-08-06 00:04:44,6333.8069,ethusdt
7,2019-08-06 00:04:46,7785.6163,ethbtc
7,2019-08-06 00:04:46,2783.2919,ltcusdt
7,2019-08-06 00:04:46,3875.1706,omgusdt
7,2019-08-06 00:04:47,70227.3757,btcusdt
7,2019-08-06 00:04:48,28.3512,zrxusdt
7,2019-08-06 00:04:55,13.8906,gntusdt
8,2019-08-06 00:04:58,4849.9022,etcusdt
7,2019-08-06 00:04:59,7.9786,aeeth
9,2019-08-06 00:05:02,1.9069,mcoeth
8,2019-08-06 00:05:02,77.0831,wtceth
8,2019-08-06 00:05:20,1817.7411,ltcbtc
8,2019-08-06 00:05:20,1930.1623,ltcusdt
8,2019-08-06 00:05:21,5260.6515,omgusdt
9,2019-08-06 00:05:23,6995.0884,etcusdt
8,2019-08-06 00:05:25,262.0233,zrxusdt
8,2019-08-06 00:05:27,14756.4971,ethusdt
8,2019-08-06 00:05:29,374.8269,ethbtc
8,2019-08-06 00:05:31,1.6372,gntusdt
8,2019-08-06 00:05:32,14024.7739,btcusdt
8,2019-08-06 00:05:32,13.8768,aeeth
9,2019-08-06 00:05:35,106.6777,wtceth
10,2019-08-06 00:05:38,0.3131,mcoeth
9,2019-08-06 00:05:46,9898.0532,ltcusdt
10,2019-08-06 00:05:51,31.9301,etcusdt
9,2019-08-06 00:05:54,3133.5315,ethusdt
9,2019-08-06 00:05:55,9536.3234,ltcbtc
9,2019-08-06 00:05:55,5933.3494,omgusdt
9,2019-08-06 00:05:57,553.7974,ethbtc
9,2019-08-06 00:05:59,33.3833,gntusdt
9,2019-08-06 00:06:04,107416.7437,btcusdt
9,2019-08-06 00:06:08,222.7028,zrxusdt
11,2019-08-06 00:06:10,1.8008,mcoeth
10,2019-08-06 00:06:12,74.5118,wtceth
9,2019-08-06 00:06:16,3.352,aeeth
10,2019-08-06 00:06:24,7687.3918,ltcusdt
10,2019-08-06 00:06:30,755.5455,ethbtc
10,2019-08-06 00:06:36,21630.7418,ethusdt
11,2019-08-06 00:06:36,2605.1206,etcusdt
11,2019-08-06 00:06:38,38.3146,wtceth
10,2019-08-06 00:06:40,11072.7925,ltcbtc
10,2019-08-06 00:06:40,3921.6541,omgusdt
10,2019-08-06 00:06:43,91622.0029,btcusdt
10,2019-08-06 00:06:43,24.7939,gntusdt
10,2019-08-06 00:06:47,14.3847,aeeth
12,2019-08-06 00:06:52,1.6763,mcoeth
10,2019-08-06 00:06:52,134.9427,zrxusdt
11,2019-08-06 00:07:03,9471.4679,ltcusdt
11,2019-08-06 00:07:08,10125.7837,ethbtc
11,2019-08-06 00:07:09,39.8401,gntusdt
11,2019-08-06 00:07:10,1477.8213,omgusdt
11,2019-08-06 00:07:11,10868.8014,ltcbtc
11,2019-08-06 00:07:14,13.5442,aeeth
11,2019-08-06 00:07:16,13434.8004,ethusdt
12,2019-08-06 00:07:16,397.679,etcusdt
12,2019-08-06 00:07:19,47.2668,wtceth
11,2019-08-06 00:07:20,45656.0142,btcusdt
13,2019-08-06 00:07:26,1.3831,mcoeth
11,2019-08-06 00:07:31,132.691,zrxusdt
12,2019-08-06 00:07:34,8695.7042,ltcusdt
12,2019-08-06 00:07:35,21146.7407,ethbtc
12,2019-08-06 00:07:36,32.8496,gntusdt
12,2019-08-06 00:07:37,1822.0948,omgusdt
12,2019-08-06 00:07:49,16560.3063,ethusdt
12,2019-08-06 00:07:53,8329.8132,ltcbtc
12,2019-08-06 00:07:53,4.4347,aeeth
13,2019-08-06 00:07:57,1509.3924,etcusdt
12,2019-08-06 00:07:59,8720.1618,btcusdt
13,2019-08-06 00:08:00,101.7271,wtceth
13,2019-08-06 00:08:01,4388.5792,ethbtc
14,2019-08-06 00:08:06,2.1269,mcoeth
12,2019-08-06 00:08:12,282.0958,zrxusdt
13,2019-08-06 00:08:17,6010.7211,ltcusdt
13,2019-08-06 00:08:18,29.5219,gntusdt
13,2019-08-06 00:08:20,1890.6744,omgusdt
13,2019-08-06 00:08:23,24492.0742,ethusdt
13,2019-08-06 00:08:23,4.0605,aeeth
13,2019-08-06 00:08:24,88820.3795,btcusdt
14,2019-08-06 00:08:25,3501.1687,etcusdt
14,2019-08-06 00:08:26,380.9031,ethbtc
13,2019-08-06 00:08:32,2515.2362,ltcbtc
15,2019-08-06 00:08:37,1.9477,mcoeth
14,2019-08-06 00:08:39,37.6057,wtceth
13,2019-08-06 00:08:40,120.2859,zrxusdt
14,2019-08-06 00:08:43,10.8663,gntusdt
14,2019-08-06 00:08:52,115883.1268,btcusdt
14,2019-08-06 00:08:52,2592.0973,ethusdt
14,2019-08-06 00:08:58,4172.9457,omgusdt
14,2019-08-06 00:09:00,4541.0325,ltcusdt
16,2019-08-06 00:09:03,1.5491,mcoeth
14,2019-08-06 00:09:05,11.7185,aeeth
15,2019-08-06 00:09:07,447.1613,etcusdt
14,2019-08-06 00:09:08,238.1072,zrxusdt
15,2019-08-06 00:09:09,19382.6291,ethbtc
14,2019-08-06 00:09:17,2584.757,ltcbtc
15,2019-08-06 00:09:17,8.3073,gntusdt
15,2019-08-06 00:09:21,20.182,wtceth
15,2019-08-06 00:09:22,11882.0009,ethusdt
15,2019-08-06 00:09:23,5470.426,omgusdt
15,2019-08-06 00:09:34,114239.7256,btcusdt
16,2019-08-06 00:09:34,2268.8896,ethbtc
17,2019-08-06 00:09:37,1.0922,mcoeth
15,2019-08-06 00:09:39,380.6013,ltcusdt
15,2019-08-06 00:09:41,16.492,aeeth
15,2019-08-06 00:09:42,11520.4892,ltcbtc
15,2019-08-06 00:09:48,26.5085,zrxusdt
