,Time,Amount,Code
0,2019-10-24 00:00:27,1765.402,omgusdt
0,2019-10-24 00:00:30,5.2971,aeeth
0,2019-10-24 00:00:31,11024.9366,ethusdt
0,2019-10-24 00:00:32,4658.3708,ethbtc
0,2019-10-24 00:00:32,5.6541,gntusdt
0,2019-10-24 00:00:32,176.8347,zrxusdt
0,2019-10-24 00:00:33,2269.6816,ltcusdt
0,2019-10-24 00:00:35,56885.1941,btcusdt
0,2019-10-24 00:00:35,0.3132,mcoeth
0,2019-10-24 00:00:37,2863.1135,ltcbtc
0,2019-10-24 00:00:44,2043.2579,etcusdt
0,2019-10-24 00:00:45,58.2596,wtceth
1,2019-10-24 00:01:00,541.8174,omgusdt
1,2019-10-24 00:01:04,1897.0668,ethusdt
1,2019-10-24 00:01:05,9544.0994,ethbtc
1,2019-10-24 00:01:08,10.1218,aeeth
1,2019-10-24 00:01:11,64896.2481,btcusdt
1,2019-10-24 00:01:13,1.0143,mcoeth
1,2019-10-24 00:01:15,1.4671,gntusdt
1,2019-10-24 00:01:15,1006.1162,ltcbtc
1,2019-10-24 00:01:17,1307.4384,ltcusdt
1,2019-10-24 00:01:17,74.6917,zrxusdt
1,2019-10-24 00:01:21,65.1607,wtceth
1,2019-10-24 00:01:24,3006.8174,etcusdt
2,2019-10-24 00:01:32,518.2775,omgusdt
2,2019-10-24 00:01:36,12250.2096,ethbtc
2,2019-10-24 00:01:38,0.0377,aeeth
2,2019-10-24 00:01:42,11256.8416,ethusdt
2,2019-10-24 00:01:43,1.1008,mcoeth
2,2019-10-24 00:01:43,1044.8927,ltcusdt
2,2019-10-24 00:01:43,568.1864,ltcbtc
2,2019-10-24 00:01:53,33566.1449,btcusdt
2,2019-10-24 00:01:53,16.933,gntusdt
2,2019-10-24 00:01:53,65.7651,wtceth
2,2019-10-24 00:01:58,138.004,zrxusdt
3,2019-10-24 00:01:59,3310.2509,omgusdt
2,2019-10-24 00:02:04,406.2044,etcusdt
3,2019-10-24 00:02:12,0.8031,mcoeth
3,2019-10-24 00:02:12,8410.1836,ethusdt
3,2019-10-24 00:02:16,10628.1454,ethbtc
3,2019-10-24 00:02:21,4386.6287,ltcusdt
3,2019-10-24 00:02:21,10.894,aeeth
4,2019-10-24 00:02:25,1335.6273,omgusdt
3,2019-10-24 00:02:25,3208.4372,ltcbtc
3,2019-10-24 00:02:34,61835.8338,btcusdt
3,2019-10-24 00:02:34,11.6302,wtceth
3,2019-10-24 00:02:38,7.4696,gntusdt
3,2019-10-24 00:02:40,155.978,zrxusdt
4,2019-10-24 00:02:42,6776.3739,ethbtc
3,2019-10-24 00:02:45,578.2251,etcusdt
4,2019-10-24 00:02:47,13460.5027,ethusdt
4,2019-10-24 00:02:50,2284.3911,ltcusdt
4,2019-10-24 00:02:57,0.4097,mcoeth
4,2019-10-24 00:03:01,10.0726,aeeth
4,2019-10-24 00:03:03,46138.3489,btcusdt
4,2019-10-24 00:03:06,25.318,zrxusdt
4,2019-10-24 00:03:07,3160.2098,ltcbtc
5,2019-10-24 00:03:10,1348.7149,omgusdt
5,2019-10-24 00:03:11,10176.6812,ethbtc
4,2019-10-24 00:03:11,2.7586,gntusdt
4,2019-10-24 00:03:12,19.9153,wtceth
4,2019-10-24 00:03:15,3169.1449,etcusdt
5,2019-10-24 00:03:18,2358.8861,ethusdt
5,2019-10-24 00:03:27,4570.0679,ltcusdt
5,2019-10-24 00:03:33,1148.2814,ltcbtc
5,2019-10-24 00:03:34,50410.6835,btcusdt
5,2019-10-24 00:03:35,134.2841,zrxusdt
5,2019-10-24 00:03:38,4.9698,aeeth
5,2019-10-24 00:03:39,0.2966,mcoeth
6,2019-10-24 00:03:40,3251.7372,omgusdt
5,2019-10-24 00:03:41,14.9171,wtceth
6,2019-10-24 00:03:44,16777.0389,ethusdt
6,2019-10-24 00:03:46,8497.9022,ethbtc
5,2019-10-24 00:03:50,4.0422,gntusdt
5,2019-10-24 00:03:54,2123.0577,etcusdt
6,2019-10-24 00:04:03,4381.6377,ltcusdt
6,2019-10-24 00:04:08,26391.202,btcusdt
6,2019-10-24 00:04:08,10.3786,zrxusdt
6,2019-10-24 00:04:11,0.2667,mcoeth
7,2019-10-24 00:04:13,3459.1863,omgusdt
6,2019-10-24 00:04:16,59.8525,wtceth
6,2019-10-24 00:04:16,1732.5616,ltcbtc
7,2019-10-24 00:04:19,14.0689,ethbtc
6,2019-10-24 00:04:22,9.6817,aeeth
7,2019-10-24 00:04:26,1893.2941,ethusdt
6,2019-10-24 00:04:28,19.4446,gntusdt
6,2019-10-24 00:04:32,2133.0388,etcusdt
7,2019-10-24 00:04:35,43244.86,btcusdt
7,2019-10-24 00:04:41,5586.6398,ltcbtc
7,2019-10-24 00:04:46,5483.0782,ltcusdt
7,2019-10-24 00:04:50,0.2638,mcoeth
7,2019-10-24 00:04:51,132.8604,zrxusdt
8,2019-10-24 00:04:53,2181.3978,ethbtc
7,2019-10-24 00:04:55,67.8377,wtceth
7,2019-10-24 00:04:56,3.0104,aeeth
8,2019-10-24 00:04:56,637.719,omgusdt
8,2019-10-24 00:04:58,11689.8675,ethusdt
7,2019-10-24 00:04:58,21.4503,gntusdt
7,2019-10-24 00:05:05,1486.7586,etcusdt
8,2019-10-24 00:05:09,8918.8744,btcusdt
8,2019-10-24 00:05:20,4081.5447,ltcbtc
8,2019-10-24 00:05:22,4688.0596,ltcusdt
8,2019-10-24 00:05:23,29.7759,gntusdt
8,2019-10-24 00:05:24,33.158,wtceth
8,2019-10-24 00:05:29,0.2921,mcoeth
9,2019-10-24 00:05:29,3167.7919,omgusdt
8,2019-10-24 00:05:30,116.0715,zrxusdt
8,2019-10-24 00:05:31,1.6417,aeeth
8,2019-10-24 00:05:32,503.7742,etcusdt
9,2019-10-24 00:05:38,3753.4223,ethusdt
9,2019-10-24 00:05:38,13901.6084,ethbtc
9,2019-10-24 00:05:45,35653.6231,btcusdt
9,2019-10-24 00:05:48,1504.506,ltcbtc
9,2019-10-24 00:05:53,19.5372,gntusdt
9,2019-10-24 00:05:57,0.4705,mcoeth
9,2019-10-24 00:06:01,169.7138,zrxusdt
9,2019-10-24 00:06:02,1838.0576,ltcusdt
9,2019-10-24 00:06:02,2926.6415,etcusdt
9,2019-10-24 00:06:03,1.2879,aeeth
9,2019-10-24 00:06:03,20.0865,wtceth
10,2019-10-24 00:06:06,1326.6694,omgusdt
10,2019-10-24 00:06:07,3041.6892,ethbtc
10,2019-10-24 00:06:17,6765.2243,ethusdt
10,2019-10-24 00:06:17,52383.5136,btcusdt
10,2019-10-24 00:06:24,1946.6793,ltcbtc
10,2019-10-24 00:06:27,30.8176,gntusdt
10,2019-10-24 00:06:29,0.6078,mcoeth
10,2019-10-24 00:06:29,1487.0658,etcusdt
10,2019-10-24 00:06:35,4889.0151,ltcusdt
10,2019-10-24 00:06:36,3.2384,aeeth
10,2019-10-24 00:06:37,79.6076,wtceth
10,2019-10-24 00:06:44,10.2884,zrxusdt
11,2019-10-24 00:06:45,45581.5731,btcusdt
11,2019-10-24 00:06:47,13002.0761,ethbtc
11,2019-10-24 00:06:48,4165.5276,ethusdt
11,2019-10-24 00:06:50,1261.8787,omgusdt
11,2019-10-24 00:06:52,1597.5689,ltcbtc
11,2019-10-24 00:07:00,3102.1054,etcusdt
11,2019-10-24 00:07:05,23.6801,gntusdt
11,2019-10-24 00:07:08,12.5057,aeeth
11,2019-10-24 00:07:09,0.0834,mcoeth
11,2019-10-24 00:07:17,128.8157,ltcusdt
12,2019-10-24 00:07:19,14306.2025,ethusdt
12,2019-10-24 00:07:21,10990.0611,ethbtc
11,2019-10-24 00:07:21,20.8388,wtceth
11,2019-10-24 00:07:28,22.2966,zrxusdt
12,2019-10-24 00:07:29,47096.449,btcusdt
12,2019-10-24 00:07:32,267.6951,omgusdt
12,2019-10-24 00:07:35,4081.8517,ltcbtc
12,2019-10-24 00:07:43,196.4172,etcusdt
12,2019-10-24 00:07:43,29.1371,gntusdt
12,2019-10-24 00:07:46,26.8156,wtceth
13,2019-10-24 00:07:46,2292.9324,ethusdt
12,2019-10-24 00:07:51,0.7378,mcoeth
12,2019-10-24 00:07:52,4143.6084,ltcusdt
12,2019-10-24 00:07:52,1.1805,aeeth
13,2019-10-24 00:07:53,1883.1174,ethbtc
13,2019-10-24 00:08:03,38635.8901,btcusdt
12,2019-10-24 00:08:03,29.3758,zrxusdt
13,2019-10-24 00:08:11,2593.3019,etcusdt
13,2019-10-24 00:08:13,51.4658,wtceth
13,2019-10-24 00:08:13,6005.4431,ltcbtc
13,2019-10-24 00:08:15,321.8011,omgusdt
13,2019-10-24 00:08:19,10.5695,aeeth
13,2019-10-24 00:08:19,6375.4193,ltcusdt
13,2019-10-24 00:08:21,0.0215,mcoeth
13,2019-10-24 00:08:23,5.2553,gntusdt
13,2019-10-24 00:08:28,166.7555,zrxusdt
14,2019-10-24 00:08:30,8504.9274,ethbtc
14,2019-10-24 00:08:30,35254.7921,btcusdt
14,2019-10-24 00:08:31,4371.1919,ethusdt
14,2019-10-24 00:08:43,64.0621,wtceth
14,2019-10-24 00:08:46,4037.205,ltcbtc
14,2019-10-24 00:08:50,2509.0378,ltcusdt
14,2019-10-24 00:08:52,30.937,gntusdt
14,2019-10-24 00:08:55,1749.0282,etcusdt
14,2019-10-24 00:08:58,1985.3395,omgusdt
14,2019-10-24 00:09:00,0.1675,mcoeth
14,2019-10-24 00:09:04,9.3357,aeeth
14,2019-10-24 00:09:04,131.8101,zrxusdt
15,2019-10-24 00:09:06,9311.9267,ethusdt
15,2019-10-24 00:09:11,16548.1959,btcusdt
15,2019-10-24 00:09:12,2482.7945,ethbtc
15,2019-10-24 00:09:18,1988.4077,ltcbtc
15,2019-10-24 00:09:27,35.547,wtceth
15,2019-10-24 00:09:31,0.4514,mcoeth
15,2019-10-24 00:09:32,9.9885,gntusdt
15,2019-10-24 00:09:32,1348.0439,etcusdt
15,2019-10-24 00:09:34,2303.9913,omgusdt
15,2019-10-24 00:09:35,506.3452,ltcusdt
15,2019-10-24 00:09:35,2.8496,aeeth
16,2019-10-24 00:09:36,9449.2254,ethusdt
16,2019-10-24 00:09:39,1558.8385,ethbtc
15,2019-10-24 00:09:45,172.1627,zrxusdt
16,2019-10-24 00:09:47,407.3038,ltcbtc
16,2019-10-24 00:09:47,31378.4047,btcusdt
16,2019-10-24 00:10:00,46.3651,wtceth
16,2019-10-24 00:10:01,0.4006,aeeth
16,2019-10-24 00:10:04,3149.2972,etcusdt
16,2019-10-24 00:10:05,0.137,mcoeth
16,2019-10-24 00:10:06,30.8656,gntusdt
17,2019-10-24 00:10:09,10253.9003,ethusdt
16,2019-10-24 00:10:12,6224.831,ltcusdt
17,2019-10-24 00:10:13,4957.9172,ltcbtc
17,2019-10-24 00:10:16,6810.6923,ethbtc
17,2019-10-24 00:10:17,17205.6283,btcusdt
16,2019-10-24 00:10:19,2465.7297,omgusdt
16,2019-10-24 00:10:28,85.1124,zrxusdt
17,2019-10-24 00:10:34,2229.4423,etcusdt
17,2019-10-24 00:10:36,6.6761,aeeth
18,2019-10-24 00:10:42,9210.7872,ethusdt
17,2019-10-24 00:10:43,0.5412,mcoeth
17,2019-10-24 00:10:45,62.9655,wtceth
18,2019-10-24 00:10:45,3965.3616,btcusdt
17,2019-10-24 00:10:47,25.5471,gntusdt
17,2019-10-24 00:10:50,3243.3691,ltcusdt
18,2019-10-24 00:10:56,1242.9614,ltcbtc
18,2019-10-24 00:10:59,9049.4762,ethbtc
17,2019-10-24 00:11:00,1169.7964,omgusdt
