,Time,Amount,Code
0,2019-07-18 00:00:29,7823.6191,etcusdt
0,2019-07-18 00:00:29,13790.9095,ethbtc
0,2019-07-18 00:00:29,3.5844,aeeth
0,2019-07-18 00:00:30,4652.1239,ethusdt
0,2019-07-18 00:00:30,226.4475,zrxusdt
0,2019-07-18 00:00:31,4210.9649,omgusdt
0,2019-07-18 00:00:37,6.9653,gntusdt
0,2019-07-18 00:00:37,73.2256,wtceth
0,2019-07-18 00:00:38,114528.989,btcusdt
0,2019-07-18 00:00:41,0.9331,mcoeth
0,2019-07-18 00:00:41,9114.2821,ltcusdt
0,2019-07-18 00:00:44,6801.7878,ltcbtc
1,2019-07-18 00:00:55,22177.6033,ethusdt
1,2019-07-18 00:00:58,3.6938,zrxusdt
1,2019-07-18 00:01:02,3068.2611,etcusdt
1,2019-07-18 00:01:02,6.3071,aeeth
1,2019-07-18 00:01:09,5302.8136,omgusdt
1,2019-07-18 00:01:09,13538.3331,ethbtc
1,2019-07-18 00:01:13,46.7762,gntusdt
1,2019-07-18 00:01:13,100.0993,wtceth
1,2019-07-18 00:01:15,9538.4779,ltcusdt
1,2019-07-18 00:01:16,86346.4853,btcusdt
1,2019-07-18 00:01:20,0.1861,mcoeth
2,2019-07-18 00:01:24,7253.2668,ethusdt
1,2019-07-18 00:01:28,1842.4765,ltcbtc
2,2019-07-18 00:01:29,13.4072,zrxusdt
2,2019-07-18 00:01:34,11.9404,aeeth
2,2019-07-18 00:01:37,3126.503,etcusdt
2,2019-07-18 00:01:37,1612.7767,omgusdt
2,2019-07-18 00:01:40,152.8342,wtceth
2,2019-07-18 00:01:43,7748.0993,ltcusdt
2,2019-07-18 00:01:43,74867.0436,btcusdt
2,2019-07-18 00:01:44,17232.5301,ethbtc
2,2019-07-18 00:01:48,40.3182,gntusdt
3,2019-07-18 00:02:01,210.1189,zrxusdt
2,2019-07-18 00:02:02,0.0627,mcoeth
3,2019-07-18 00:02:03,3470.8928,omgusdt
3,2019-07-18 00:02:06,22483.8954,ethusdt
3,2019-07-18 00:02:07,7.4034,aeeth
3,2019-07-18 00:02:08,5301.4344,ltcusdt
2,2019-07-18 00:02:08,3630.0759,ltcbtc
