,Time,Amount,Code
0,2019-05-09 00:00:25,0.4159,mcoeth
0,2019-05-09 00:00:26,1428.7033,ltcbtc
0,2019-05-09 00:00:26,235.5829,zrxusdt
0,2019-05-09 00:00:32,9.0229,wtceth
0,2019-05-09 00:00:32,3898.9138,etcusdt
0,2019-05-09 00:00:34,11.901,gntusdt
0,2019-05-09 00:00:37,12.2884,aeeth
0,2019-05-09 00:00:37,13243.8934,ethusdt
0,2019-05-09 00:00:38,1950.5643,omgusdt
0,2019-05-09 00:00:42,1303.972,ethbtc
0,2019-05-09 00:00:45,8078.6933,ltcusdt
0,2019-05-09 00:00:45,67672.9403,btcusdt
1,2019-05-09 00:00:54,0.7619,mcoeth
1,2019-05-09 00:00:59,110.8447,wtceth
1,2019-05-09 00:00:59,3690.292,etcusdt
1,2019-05-09 00:01:01,33.1834,gntusdt
1,2019-05-09 00:01:03,8507.7711,ltcbtc
1,2019-05-09 00:01:04,129.6553,zrxusdt
1,2019-05-09 00:01:09,19493.8589,ethusdt
1,2019-05-09 00:01:10,96023.2448,btcusdt
1,2019-05-09 00:01:13,17.9562,aeeth
1,2019-05-09 00:01:16,8180.0372,ethbtc
1,2019-05-09 00:01:18,765.3878,omgusdt
1,2019-05-09 00:01:28,5674.3867,ltcusdt
2,2019-05-09 00:01:31,79.0945,wtceth
2,2019-05-09 00:01:33,23.3391,gntusdt
2,2019-05-09 00:01:35,0.1254,mcoeth
2,2019-05-09 00:01:36,2334.0896,etcusdt
2,2019-05-09 00:01:39,191.3524,zrxusdt
2,2019-05-09 00:01:40,7856.1067,ltcbtc
2,2019-05-09 00:01:47,94907.6041,btcusdt
2,2019-05-09 00:01:50,9968.2691,ethusdt
2,2019-05-09 00:01:56,20.5554,aeeth
2,2019-05-09 00:01:59,9772.5854,ethbtc
2,2019-05-09 00:01:59,5166.7635,omgusdt
3,2019-05-09 00:02:03,0.0108,mcoeth
3,2019-05-09 00:02:10,2808.2149,etcusdt
3,2019-05-09 00:02:10,43.3127,gntusdt
3,2019-05-09 00:02:13,79322.4854,btcusdt
2,2019-05-09 00:02:13,1228.5229,ltcusdt
3,2019-05-09 00:02:15,82.429,wtceth
3,2019-05-09 00:02:17,6828.7314,ltcbtc
3,2019-05-09 00:02:20,23960.3854,ethusdt
3,2019-05-09 00:02:21,217.7851,zrxusdt
3,2019-05-09 00:02:26,7.2509,aeeth
3,2019-05-09 00:02:26,10883.3113,ethbtc
4,2019-05-09 00:02:28,0.3889,mcoeth
3,2019-05-09 00:02:39,4766.564,omgusdt
4,2019-05-09 00:02:39,23.8982,gntusdt
4,2019-05-09 00:02:41,29.1584,wtceth
4,2019-05-09 00:02:44,4273.7357,etcusdt
3,2019-05-09 00:02:44,6028.9588,ltcusdt
4,2019-05-09 00:02:46,4259.5198,ethusdt
4,2019-05-09 00:02:51,3962.6212,ltcbtc
4,2019-05-09 00:02:56,50271.4948,btcusdt
4,2019-05-09 00:03:00,17.445,aeeth
4,2019-05-09 00:03:02,136.138,zrxusdt
4,2019-05-09 00:03:09,5771.7066,ethbtc
4,2019-05-09 00:03:10,6553.5439,ltcusdt
4,2019-05-09 00:03:12,4872.1202,omgusdt
5,2019-05-09 00:03:13,0.8761,mcoeth
5,2019-05-09 00:03:19,69.6254,wtceth
5,2019-05-09 00:03:21,7833.025,ltcbtc
5,2019-05-09 00:03:21,38.8375,gntusdt
5,2019-05-09 00:03:25,34478.3084,btcusdt
5,2019-05-09 00:03:27,15654.3643,ethusdt
5,2019-05-09 00:03:27,1203.0241,etcusdt
5,2019-05-09 00:03:29,183.399,zrxusdt
5,2019-05-09 00:03:31,6.4939,aeeth
5,2019-05-09 00:03:35,710.4822,ltcusdt
5,2019-05-09 00:03:39,346.9737,omgusdt
5,2019-05-09 00:03:52,1043.63,ethbtc
6,2019-05-09 00:03:54,25.7975,wtceth
6,2019-05-09 00:03:54,0.4895,mcoeth
6,2019-05-09 00:03:55,3693.0116,etcusdt
6,2019-05-09 00:03:58,19.7315,gntusdt
6,2019-05-09 00:03:58,48660.107,btcusdt
6,2019-05-09 00:04:03,20.7135,aeeth
6,2019-05-09 00:04:04,8817.366,ltcbtc
6,2019-05-09 00:04:05,840.0681,ltcusdt
