,Time,Amount,Code
0,2019-05-06 00:00:26,20.8037,aeeth
0,2019-05-06 00:00:29,7423.6532,ethbtc
0,2019-05-06 00:00:30,1591.5515,ltcusdt
0,2019-05-06 00:00:31,1341.0904,ethusdt
0,2019-05-06 00:00:33,330.371,ltcbtc
0,2019-05-06 00:00:35,58.2246,zrxusdt
0,2019-05-06 00:00:41,1691.5192,omgusdt
0,2019-05-06 00:00:41,29958.0602,btcusdt
0,2019-05-06 00:00:43,85.368,wtceth
0,2019-05-06 00:00:45,2.3904,gntusdt
0,2019-05-06 00:00:45,0.6324,mcoeth
0,2019-05-06 00:00:45,515.7369,etcusdt
1,2019-05-06 00:00:53,9.3258,aeeth
1,2019-05-06 00:01:01,5854.3561,ltcbtc
1,2019-05-06 00:01:03,6108.9547,ltcusdt
1,2019-05-06 00:01:09,26.7611,wtceth
1,2019-05-06 00:01:10,15712.8978,ethbtc
1,2019-05-06 00:01:11,3064.992,etcusdt
1,2019-05-06 00:01:12,7005.2983,ethusdt
1,2019-05-06 00:01:13,169.9218,zrxusdt
1,2019-05-06 00:01:18,18840.2837,btcusdt
1,2019-05-06 00:01:20,10.407,gntusdt
1,2019-05-06 00:01:22,0.6157,mcoeth
1,2019-05-06 00:01:26,3731.9597,omgusdt
2,2019-05-06 00:01:30,3802.5726,ltcusdt
2,2019-05-06 00:01:35,7.1297,aeeth
2,2019-05-06 00:01:37,64.2393,wtceth
2,2019-05-06 00:01:40,7361.0699,ethbtc
2,2019-05-06 00:01:44,217.3342,zrxusdt
2,2019-05-06 00:01:45,0.3553,gntusdt
2,2019-05-06 00:01:45,6353.878,ltcbtc
2,2019-05-06 00:01:48,2796.2373,ethusdt
2,2019-05-06 00:01:53,1205.0016,etcusdt
2,2019-05-06 00:01:56,0.6349,mcoeth
2,2019-05-06 00:01:56,4332.4459,omgusdt
2,2019-05-06 00:01:58,61672.0577,btcusdt
3,2019-05-06 00:02:04,10.4774,aeeth
3,2019-05-06 00:02:06,3082.5911,ltcusdt
3,2019-05-06 00:02:07,14635.0962,ethbtc
3,2019-05-06 00:02:08,19.1705,wtceth
3,2019-05-06 00:02:14,94.4492,zrxusdt
3,2019-05-06 00:02:18,62.7312,etcusdt
3,2019-05-06 00:02:19,3.7399,gntusdt
3,2019-05-06 00:02:20,7568.5403,ltcbtc
3,2019-05-06 00:02:21,1.2342,mcoeth
3,2019-05-06 00:02:21,16857.5372,ethusdt
3,2019-05-06 00:02:33,118.8882,omgusdt
4,2019-05-06 00:02:40,7.6544,aeeth
3,2019-05-06 00:02:42,33038.9882,btcusdt
4,2019-05-06 00:02:46,73.2172,wtceth
4,2019-05-06 00:02:48,14646.5701,ethbtc
4,2019-05-06 00:02:49,2841.6951,ltcusdt
4,2019-05-06 00:02:52,3316.7472,ethusdt
4,2019-05-06 00:02:52,5713.1488,etcusdt
4,2019-05-06 00:02:56,7774.9736,ltcbtc
4,2019-05-06 00:02:57,57.5805,zrxusdt
4,2019-05-06 00:02:58,0.5206,mcoeth
4,2019-05-06 00:02:59,17.1152,gntusdt
4,2019-05-06 00:03:01,1988.7721,omgusdt
5,2019-05-06 00:03:14,16726.6662,ethbtc
5,2019-05-06 00:03:16,72.7634,wtceth
5,2019-05-06 00:03:19,7.2418,aeeth
5,2019-05-06 00:03:19,3502.1785,ethusdt
4,2019-05-06 00:03:22,55352.5576,btcusdt
5,2019-05-06 00:03:27,0.8786,mcoeth
5,2019-05-06 00:03:30,6351.9381,ltcusdt
5,2019-05-06 00:03:33,1448.6011,etcusdt
5,2019-05-06 00:03:34,30.1896,gntusdt
5,2019-05-06 00:03:36,4341.061,omgusdt
5,2019-05-06 00:03:38,5.4497,zrxusdt
6,2019-05-06 00:03:40,13623.6392,ethbtc
5,2019-05-06 00:03:40,8014.8602,ltcbtc
6,2019-05-06 00:03:49,42.8376,wtceth
6,2019-05-06 00:03:52,13258.5369,ethusdt
5,2019-05-06 00:04:03,574.4714,btcusdt
6,2019-05-06 00:04:03,4766.2102,omgusdt
6,2019-05-06 00:04:03,16.2394,aeeth
6,2019-05-06 00:04:06,21.2392,gntusdt
6,2019-05-06 00:04:09,68.1706,zrxusdt
6,2019-05-06 00:04:10,5502.5182,etcusdt
6,2019-05-06 00:04:12,0.2898,mcoeth
7,2019-05-06 00:04:12,9565.2854,ethbtc
6,2019-05-06 00:04:13,3137.7736,ltcusdt
6,2019-05-06 00:04:13,7350.9137,ltcbtc
7,2019-05-06 00:04:22,18.9122,wtceth
7,2019-05-06 00:04:31,19.5331,aeeth
7,2019-05-06 00:04:32,289.5073,ethusdt
7,2019-05-06 00:04:35,4724.2546,omgusdt
7,2019-05-06 00:04:41,3256.3534,etcusdt
6,2019-05-06 00:04:42,34273.4511,btcusdt
7,2019-05-06 00:04:43,76.085,zrxusdt
7,2019-05-06 00:04:49,1996.1796,ltcusdt
7,2019-05-06 00:04:50,16.28,gntusdt
8,2019-05-06 00:04:54,10573.4118,ethbtc
7,2019-05-06 00:04:54,0.719,mcoeth
7,2019-05-06 00:04:55,6465.7924,ltcbtc
8,2019-05-06 00:04:57,31.5788,wtceth
8,2019-05-06 00:05:02,195.9452,omgusdt
8,2019-05-06 00:05:02,21.9554,aeeth
8,2019-05-06 00:05:09,9068.7981,ethusdt
8,2019-05-06 00:05:15,22.2192,zrxusdt
8,2019-05-06 00:05:16,7.3574,gntusdt
8,2019-05-06 00:05:22,0.8342,mcoeth
8,2019-05-06 00:05:22,2520.9834,etcusdt
9,2019-05-06 00:05:22,42.4859,wtceth
7,2019-05-06 00:05:24,16337.062,btcusdt
9,2019-05-06 00:05:27,6903.7302,ethbtc
8,2019-05-06 00:05:31,1529.2378,ltcusdt
8,2019-05-06 00:05:32,4206.8151,ltcbtc
9,2019-05-06 00:05:41,1227.3829,omgusdt
9,2019-05-06 00:05:44,16.3957,aeeth
10,2019-05-06 00:05:50,79.6622,wtceth
9,2019-05-06 00:05:50,12.3988,gntusdt
9,2019-05-06 00:05:51,14854.847,ethusdt
9,2019-05-06 00:05:53,0.2827,mcoeth
10,2019-05-06 00:05:54,12038.6565,ethbtc
9,2019-05-06 00:05:57,60.7116,zrxusdt
9,2019-05-06 00:05:57,4009.3983,ltcbtc
9,2019-05-06 00:06:03,5768.1445,ltcusdt
8,2019-05-06 00:06:04,4149.3421,btcusdt
9,2019-05-06 00:06:05,4431.3857,etcusdt
11,2019-05-06 00:06:18,49.1066,wtceth
11,2019-05-06 00:06:19,5352.8734,ethbtc
10,2019-05-06 00:06:20,2723.558,omgusdt
10,2019-05-06 00:06:20,11.3853,gntusdt
10,2019-05-06 00:06:21,4.6421,aeeth
10,2019-05-06 00:06:23,14211.6858,ethusdt
10,2019-05-06 00:06:24,6756.2728,ltcbtc
9,2019-05-06 00:06:29,59734.0735,btcusdt
10,2019-05-06 00:06:32,0.4396,mcoeth
10,2019-05-06 00:06:35,151.685,zrxusdt
