,Time,Amount,Code
0,2019-10-17 00:00:27,3523.2134,ethusdt
0,2019-10-17 00:00:27,13.322,gntusdt
0,2019-10-17 00:00:28,2020.3479,ltcbtc
0,2019-10-17 00:00:29,7.7487,wtceth
0,2019-10-17 00:00:33,15867.8997,btcusdt
0,2019-10-17 00:00:33,80.7718,etcusdt
0,2019-10-17 00:00:33,4.8767,aeeth
0,2019-10-17 00:00:33,3093.8042,ltcusdt
0,2019-10-17 00:00:38,0.2517,mcoeth
0,2019-10-17 00:00:42,3749.3378,ethbtc
0,2019-10-17 00:00:44,190.9017,omgusdt
0,2019-10-17 00:00:45,29.6221,zrxusdt
1,2019-10-17 00:00:52,4.6578,gntusdt
1,2019-10-17 00:00:53,5023.3945,ethusdt
1,2019-10-17 00:00:54,2.7918,wtceth
1,2019-10-17 00:01:00,5.3098,aeeth
1,2019-10-17 00:01:04,1457.0397,ltcbtc
1,2019-10-17 00:01:08,917.2771,ethbtc
1,2019-10-17 00:01:08,17218.0115,btcusdt
1,2019-10-17 00:01:09,799.9642,omgusdt
1,2019-10-17 00:01:12,47.0125,zrxusdt
1,2019-10-17 00:01:12,556.2859,etcusdt
1,2019-10-17 00:01:13,1204.1103,ltcusdt
1,2019-10-17 00:01:19,0.5339,mcoeth
2,2019-10-17 00:01:20,8.0212,gntusdt
2,2019-10-17 00:01:21,3413.248,ethusdt
2,2019-10-17 00:01:29,22.7371,wtceth
2,2019-10-17 00:01:37,6.7984,aeeth
2,2019-10-17 00:01:42,243.0546,ltcbtc
2,2019-10-17 00:01:44,18746.1476,btcusdt
2,2019-10-17 00:01:44,208.0844,ethbtc
2,2019-10-17 00:01:45,0.2931,mcoeth
2,2019-10-17 00:01:47,2567.0886,ltcusdt
2,2019-10-17 00:01:50,96.3428,zrxusdt
2,2019-10-17 00:01:51,1695.6581,omgusdt
2,2019-10-17 00:01:52,159.3788,etcusdt
3,2019-10-17 00:01:58,4.6459,gntusdt
3,2019-10-17 00:02:05,4647.7329,ethusdt
3,2019-10-17 00:02:09,4.9559,aeeth
3,2019-10-17 00:02:11,0.3924,mcoeth
3,2019-10-17 00:02:14,57.5032,ltcbtc
3,2019-10-17 00:02:14,3856.0167,ethbtc
3,2019-10-17 00:02:14,25.6074,wtceth
3,2019-10-17 00:02:18,7131.7709,btcusdt
3,2019-10-17 00:02:19,93.1643,zrxusdt
3,2019-10-17 00:02:23,1777.7343,ltcusdt
3,2019-10-17 00:02:24,1385.6856,omgusdt
4,2019-10-17 00:02:32,9.6817,gntusdt
3,2019-10-17 00:02:37,665.3774,etcusdt
4,2019-10-17 00:02:42,7.1395,aeeth
4,2019-10-17 00:02:44,18.0749,wtceth
4,2019-10-17 00:02:45,5941.3254,ethbtc
4,2019-10-17 00:02:49,7567.615,ethusdt
4,2019-10-17 00:02:49,0.3595,mcoeth
4,2019-10-17 00:02:53,65.4371,zrxusdt
4,2019-10-17 00:02:55,1898.3152,ltcusdt
4,2019-10-17 00:02:56,840.7437,ltcbtc
4,2019-10-17 00:02:59,27868.7266,btcusdt
4,2019-10-17 00:03:00,321.4856,omgusdt
5,2019-10-17 00:03:10,6.5006,gntusdt
5,2019-10-17 00:03:12,16.4255,wtceth
4,2019-10-17 00:03:17,1546.4841,etcusdt
5,2019-10-17 00:03:22,0.3509,mcoeth
5,2019-10-17 00:03:26,8982.538,ethbtc
5,2019-10-17 00:03:27,2.8886,aeeth
5,2019-10-17 00:03:28,3766.1064,ethusdt
5,2019-10-17 00:03:29,95.175,zrxusdt
5,2019-10-17 00:03:31,3250.2031,ltcbtc
5,2019-10-17 00:03:35,2689.2685,ltcusdt
5,2019-10-17 00:03:40,6545.7342,btcusdt
6,2019-10-17 00:03:41,29.7638,wtceth
5,2019-10-17 00:03:44,2008.6716,omgusdt
5,2019-10-17 00:03:45,1429.1514,etcusdt
6,2019-10-17 00:03:47,13.4123,gntusdt
6,2019-10-17 00:03:53,3146.4552,ethusdt
6,2019-10-17 00:04:00,1604.3018,ethbtc
6,2019-10-17 00:04:02,0.3405,mcoeth
6,2019-10-17 00:04:05,1106.1521,ltcusdt
6,2019-10-17 00:04:07,1167.3327,ltcbtc
6,2019-10-17 00:04:09,2.0191,aeeth
6,2019-10-17 00:04:12,973.0094,etcusdt
7,2019-10-17 00:04:14,12.6256,gntusdt
6,2019-10-17 00:04:14,70.4009,zrxusdt
6,2019-10-17 00:04:18,2201.3891,omgusdt
6,2019-10-17 00:04:18,4396.5637,btcusdt
7,2019-10-17 00:04:26,22.5209,wtceth
7,2019-10-17 00:04:28,7101.4486,ethusdt
7,2019-10-17 00:04:35,699.5698,ethbtc
7,2019-10-17 00:04:40,1975.6602,ltcusdt
8,2019-10-17 00:04:42,2.4595,gntusdt
7,2019-10-17 00:04:45,19791.3248,btcusdt
7,2019-10-17 00:04:46,1675.9599,ltcbtc
7,2019-10-17 00:04:47,7.3481,aeeth
7,2019-10-17 00:04:47,0.4626,mcoeth
7,2019-10-17 00:04:52,1509.7373,etcusdt
7,2019-10-17 00:04:54,98.2606,zrxusdt
8,2019-10-17 00:04:56,6926.1266,ethusdt
7,2019-10-17 00:04:58,2430.2674,omgusdt
8,2019-10-17 00:05:01,4.5539,wtceth
8,2019-10-17 00:05:14,10267.9148,btcusdt
8,2019-10-17 00:05:17,982.6592,ltcusdt
8,2019-10-17 00:05:18,932.534,etcusdt
9,2019-10-17 00:05:19,3.243,gntusdt
8,2019-10-17 00:05:19,21.6023,ethbtc
8,2019-10-17 00:05:24,16.6796,zrxusdt
8,2019-10-17 00:05:24,0.3493,mcoeth
8,2019-10-17 00:05:27,4.0257,aeeth
