,Time,Amount,Code
0,2019-06-16 00:00:27,10294.5721,ethbtc
0,2019-06-16 00:00:31,233.001,zrxusdt
0,2019-06-16 00:00:31,30.6842,wtceth
0,2019-06-16 00:00:33,22.5173,etcusdt
0,2019-06-16 00:00:34,2422.083,ltcbtc
0,2019-06-16 00:00:40,9403.3618,ltcusdt
0,2019-06-16 00:00:40,17.2991,gntusdt
0,2019-06-16 00:00:41,7436.7726,omgusdt
0,2019-06-16 00:00:42,2.0695,mcoeth
0,2019-06-16 00:00:43,708.8677,ethusdt
0,2019-06-16 00:00:45,14.0407,aeeth
0,2019-06-16 00:00:45,11608.7467,btcusdt
1,2019-06-16 00:00:52,23456.5839,ethbtc
1,2019-06-16 00:01:01,8353.9197,ltcbtc
1,2019-06-16 00:01:04,176.2535,zrxusdt
1,2019-06-16 00:01:06,5464.5352,ltcusdt
1,2019-06-16 00:01:06,37.0484,gntusdt
1,2019-06-16 00:01:12,7475.2297,etcusdt
1,2019-06-16 00:01:13,42.0567,wtceth
1,2019-06-16 00:01:13,1245.711,omgusdt
1,2019-06-16 00:01:14,14254.4474,ethusdt
1,2019-06-16 00:01:20,1.8882,mcoeth
1,2019-06-16 00:01:26,31.1887,aeeth
1,2019-06-16 00:01:26,80799.3535,btcusdt
2,2019-06-16 00:01:31,3312.7511,ethbtc
2,2019-06-16 00:01:42,5256.0935,ltcbtc
2,2019-06-16 00:01:42,12345.2103,ethusdt
2,2019-06-16 00:01:43,1.8861,wtceth
2,2019-06-16 00:01:49,195.7387,zrxusdt
2,2019-06-16 00:01:50,16.0696,gntusdt
2,2019-06-16 00:01:50,6685.497,ltcusdt
2,2019-06-16 00:01:50,7755.7644,omgusdt
2,2019-06-16 00:01:52,864.7322,etcusdt
2,2019-06-16 00:01:55,1.0114,mcoeth
2,2019-06-16 00:02:00,25.7761,aeeth
3,2019-06-16 00:02:01,17288.9479,ethbtc
2,2019-06-16 00:02:02,43616.0304,btcusdt
3,2019-06-16 00:02:09,2711.0975,ethusdt
3,2019-06-16 00:02:16,45.1499,gntusdt
3,2019-06-16 00:02:16,130.7394,wtceth
3,2019-06-16 00:02:18,10629.9647,ltcusdt
3,2019-06-16 00:02:25,9429.4588,ltcbtc
3,2019-06-16 00:02:25,4112.7808,omgusdt
3,2019-06-16 00:02:27,29977.0195,btcusdt
4,2019-06-16 00:02:27,15010.571,ethbtc
