,Time,Amount,Code
0,2019-10-28 00:00:25,79.3562,zrxusdt
0,2019-10-28 00:00:25,2590.5026,ltcbtc
0,2019-10-28 00:00:30,1617.2845,etcusdt
0,2019-10-28 00:00:32,1122.7659,ltcusdt
0,2019-10-28 00:00:34,603.7652,ethbtc
0,2019-10-28 00:00:35,0.0698,mcoeth
0,2019-10-28 00:00:36,12.2938,gntusdt
0,2019-10-28 00:00:39,8928.5784,ethusdt
0,2019-10-28 00:00:40,5.4443,aeeth
0,2019-10-28 00:00:41,4856.1917,btcusdt
0,2019-10-28 00:00:43,20.7099,wtceth
0,2019-10-28 00:00:44,1399.7804,omgusdt
1,2019-10-28 00:00:56,586.2609,ltcbtc
1,2019-10-28 00:00:58,3791.5101,ltcusdt
1,2019-10-28 00:00:58,1510.6079,etcusdt
1,2019-10-28 00:01:02,0.3564,mcoeth
1,2019-10-28 00:01:05,6.3349,aeeth
1,2019-10-28 00:01:09,59.3346,zrxusdt
1,2019-10-28 00:01:17,4507.2501,ethbtc
1,2019-10-28 00:01:17,399.1151,omgusdt
1,2019-10-28 00:01:18,40.3851,wtceth
1,2019-10-28 00:01:20,16191.0902,btcusdt
1,2019-10-28 00:01:20,9747.1063,ethusdt
1,2019-10-28 00:01:21,10.4421,gntusdt
2,2019-10-28 00:01:26,1053.9,etcusdt
2,2019-10-28 00:01:29,0.0059,mcoeth
2,2019-10-28 00:01:34,14.9298,ltcusdt
2,2019-10-28 00:01:36,115.3063,ltcbtc
2,2019-10-28 00:01:47,35067.8254,btcusdt
2,2019-10-28 00:01:48,3.5835,aeeth
2,2019-10-28 00:01:48,0.6672,zrxusdt
2,2019-10-28 00:01:49,1801.2609,omgusdt
2,2019-10-28 00:01:50,7043.881,ethbtc
2,2019-10-28 00:01:51,8107.2522,ethusdt
3,2019-10-28 00:01:52,2125.6141,etcusdt
2,2019-10-28 00:01:53,24.0526,wtceth
2,2019-10-28 00:01:55,7.1394,gntusdt
3,2019-10-28 00:02:09,0.0486,mcoeth
3,2019-10-28 00:02:11,443.7578,ltcusdt
3,2019-10-28 00:02:14,6.5161,aeeth
4,2019-10-28 00:02:17,211.9697,etcusdt
3,2019-10-28 00:02:18,300.5,omgusdt
3,2019-10-28 00:02:18,72.8611,zrxusdt
3,2019-10-28 00:02:19,9035.5173,ethbtc
3,2019-10-28 00:02:19,9194.8064,btcusdt
3,2019-10-28 00:02:20,700.6991,ltcbtc
3,2019-10-28 00:02:30,5.2017,wtceth
3,2019-10-28 00:02:34,3551.9598,ethusdt
4,2019-10-28 00:02:36,0.1254,mcoeth
4,2019-10-28 00:02:37,758.4052,ltcusdt
3,2019-10-28 00:02:37,11.4194,gntusdt
4,2019-10-28 00:02:48,1420.2181,ltcbtc
4,2019-10-28 00:02:50,564.039,omgusdt
4,2019-10-28 00:02:51,86.2063,zrxusdt
4,2019-10-28 00:02:59,759.0343,ethbtc
4,2019-10-28 00:02:59,5.7627,aeeth
5,2019-10-28 00:03:00,2247.293,etcusdt
4,2019-10-28 00:03:00,35427.8049,btcusdt
5,2019-10-28 00:03:07,3646.0805,ltcusdt
4,2019-10-28 00:03:07,26.5821,wtceth
5,2019-10-28 00:03:09,0.4216,mcoeth
4,2019-10-28 00:03:18,8542.7087,ethusdt
5,2019-10-28 00:03:20,33.2565,zrxusdt
5,2019-10-28 00:03:21,1625.0218,ltcbtc
4,2019-10-28 00:03:22,13.6748,gntusdt
5,2019-10-28 00:03:25,446.199,omgusdt
5,2019-10-28 00:03:29,9390.9476,ethbtc
5,2019-10-28 00:03:39,8.3139,aeeth
5,2019-10-28 00:03:40,4106.4716,btcusdt
6,2019-10-28 00:03:41,1041.1995,etcusdt
6,2019-10-28 00:03:44,0.2081,mcoeth
5,2019-10-28 00:03:46,16.1993,wtceth
6,2019-10-28 00:03:48,2230.6362,ltcusdt
5,2019-10-28 00:03:52,12.6986,gntusdt
5,2019-10-28 00:03:52,2960.2827,ethusdt
6,2019-10-28 00:03:53,354.552,ltcbtc
6,2019-10-28 00:03:53,82.5545,zrxusdt
6,2019-10-28 00:04:02,813.657,omgusdt
6,2019-10-28 00:04:08,2755.1078,ethbtc
6,2019-10-28 00:04:17,12885.2422,btcusdt
6,2019-10-28 00:04:19,4.8032,gntusdt
7,2019-10-28 00:04:19,2572.3232,ltcbtc
7,2019-10-28 00:04:20,1.0627,zrxusdt
7,2019-10-28 00:04:21,1596.0372,etcusdt
6,2019-10-28 00:04:23,1.308,aeeth
6,2019-10-28 00:04:24,17.753,wtceth
7,2019-10-28 00:04:24,0.3058,mcoeth
7,2019-10-28 00:04:29,1524.0339,omgusdt
6,2019-10-28 00:04:29,6795.2445,ethusdt
7,2019-10-28 00:04:31,2034.2042,ltcusdt
7,2019-10-28 00:04:36,1303.7478,ethbtc
7,2019-10-28 00:04:46,4862.5995,btcusdt
7,2019-10-28 00:04:48,8.5653,aeeth
8,2019-10-28 00:04:49,343.4091,ltcbtc
8,2019-10-28 00:04:49,1043.6044,etcusdt
7,2019-10-28 00:04:53,1.2043,gntusdt
8,2019-10-28 00:04:56,889.0028,omgusdt
7,2019-10-28 00:04:58,3093.8345,ethusdt
8,2019-10-28 00:05:00,41.8169,zrxusdt
8,2019-10-28 00:05:02,0.5895,mcoeth
8,2019-10-28 00:05:05,327.4445,ltcusdt
7,2019-10-28 00:05:06,18.5726,wtceth
8,2019-10-28 00:05:14,6.1,aeeth
8,2019-10-28 00:05:17,7879.6628,ethbtc
8,2019-10-28 00:05:18,13955.7506,btcusdt
9,2019-10-28 00:05:18,395.9041,etcusdt
9,2019-10-28 00:05:21,1773.2915,ltcbtc
9,2019-10-28 00:05:25,2149.0622,omgusdt
9,2019-10-28 00:05:31,77.6181,zrxusdt
8,2019-10-28 00:05:32,6.1723,gntusdt
8,2019-10-28 00:05:34,18.7402,wtceth
9,2019-10-28 00:05:39,3798.287,ltcusdt
8,2019-10-28 00:05:43,4396.7369,ethusdt
9,2019-10-28 00:05:45,119.4184,ethbtc
9,2019-10-28 00:05:46,0.0091,mcoeth
9,2019-10-28 00:05:50,1.1537,aeeth
9,2019-10-28 00:05:52,8391.5338,btcusdt
10,2019-10-28 00:05:58,448.0925,ltcbtc
10,2019-10-28 00:05:59,2196.4885,etcusdt
10,2019-10-28 00:06:04,77.2694,zrxusdt
10,2019-10-28 00:06:09,2517.2216,omgusdt
10,2019-10-28 00:06:10,1106.3468,ltcusdt
9,2019-10-28 00:06:14,13.28,gntusdt
10,2019-10-28 00:06:19,8.1588,aeeth
9,2019-10-28 00:06:19,2.7438,wtceth
9,2019-10-28 00:06:21,268.2294,ethusdt
10,2019-10-28 00:06:23,22218.1798,btcusdt
10,2019-10-28 00:06:26,0.5734,mcoeth
11,2019-10-28 00:06:28,1561.5174,etcusdt
10,2019-10-28 00:06:29,8905.1658,ethbtc
11,2019-10-28 00:06:34,69.8622,zrxusdt
11,2019-10-28 00:06:36,355.6402,ltcbtc
11,2019-10-28 00:06:38,413.537,omgusdt
11,2019-10-28 00:06:47,3106.9706,ltcusdt
11,2019-10-28 00:06:55,15703.9676,btcusdt
11,2019-10-28 00:06:56,149.796,ethbtc
10,2019-10-28 00:06:56,6.6301,wtceth
10,2019-10-28 00:06:58,8252.1047,ethusdt
10,2019-10-28 00:06:58,0.2523,gntusdt
11,2019-10-28 00:06:59,6.2346,aeeth
11,2019-10-28 00:07:01,0.3764,mcoeth
12,2019-10-28 00:07:04,707.7171,etcusdt
12,2019-10-28 00:07:08,83.3517,zrxusdt
12,2019-10-28 00:07:12,608.9203,ltcbtc
12,2019-10-28 00:07:21,151.2019,omgusdt
11,2019-10-28 00:07:21,5.9926,wtceth
12,2019-10-28 00:07:27,2812.8876,ethbtc
12,2019-10-28 00:07:27,2033.3132,ltcusdt
12,2019-10-28 00:07:33,26703.1864,btcusdt
12,2019-10-28 00:07:34,0.1648,mcoeth
12,2019-10-28 00:07:35,7.4634,aeeth
11,2019-10-28 00:07:39,10.2062,gntusdt
13,2019-10-28 00:07:39,1345.1811,ltcbtc
11,2019-10-28 00:07:41,6940.0253,ethusdt
13,2019-10-28 00:07:47,50.6574,etcusdt
13,2019-10-28 00:07:51,41.7953,zrxusdt
12,2019-10-28 00:07:58,21.1522,wtceth
13,2019-10-28 00:08:04,1514.6445,omgusdt
13,2019-10-28 00:08:05,0.0007,mcoeth
12,2019-10-28 00:08:08,15.7045,gntusdt
13,2019-10-28 00:08:11,1040.9615,ltcusdt
13,2019-10-28 00:08:12,6855.4615,ethbtc
13,2019-10-28 00:08:15,7.8228,aeeth
12,2019-10-28 00:08:15,5646.0476,ethusdt
13,2019-10-28 00:08:16,24698.8169,btcusdt
14,2019-10-28 00:08:20,2303.6441,etcusdt
14,2019-10-28 00:08:23,427.2592,ltcbtc
14,2019-10-28 00:08:27,28.7139,zrxusdt
13,2019-10-28 00:08:27,34.187,wtceth
14,2019-10-28 00:08:39,975.8275,ltcusdt
14,2019-10-28 00:08:42,2074.5985,omgusdt
14,2019-10-28 00:08:46,8.1259,aeeth
14,2019-10-28 00:08:47,20894.612,btcusdt
13,2019-10-28 00:08:47,10.3578,gntusdt
14,2019-10-28 00:08:50,0.4277,mcoeth
15,2019-10-28 00:08:51,1806.9088,ltcbtc
14,2019-10-28 00:08:56,3738.7159,ethbtc
13,2019-10-28 00:08:56,1333.5633,ethusdt
15,2019-10-28 00:08:57,385.2249,etcusdt
15,2019-10-28 00:09:03,89.0165,zrxusdt
14,2019-10-28 00:09:04,25.6803,wtceth
14,2019-10-28 00:09:12,8.389,gntusdt
15,2019-10-28 00:09:18,349.8879,omgusdt
15,2019-10-28 00:09:18,1757.8097,ltcusdt
15,2019-10-28 00:09:20,30106.5072,btcusdt
15,2019-10-28 00:09:26,0.5326,mcoeth
16,2019-10-28 00:09:27,2402.8648,ltcbtc
16,2019-10-28 00:09:31,996.9519,etcusdt
15,2019-10-28 00:09:31,6.0863,aeeth
15,2019-10-28 00:09:35,39.1954,wtceth
15,2019-10-28 00:09:38,66.113,ethbtc
14,2019-10-28 00:09:41,7891.424,ethusdt
16,2019-10-28 00:09:43,21.6547,zrxusdt
16,2019-10-28 00:09:47,785.7268,ltcusdt
15,2019-10-28 00:09:47,13.7794,gntusdt
16,2019-10-28 00:09:50,2469.3095,omgusdt
17,2019-10-28 00:09:56,2502.4457,ltcbtc
16,2019-10-28 00:09:59,2908.3493,btcusdt
15,2019-10-28 00:10:06,5308.7783,ethusdt
16,2019-10-28 00:10:07,0.055,mcoeth
17,2019-10-28 00:10:09,35.1237,zrxusdt
17,2019-10-28 00:10:09,1612.0435,etcusdt
16,2019-10-28 00:10:09,5.9491,aeeth
16,2019-10-28 00:10:16,2658.2407,ethbtc
16,2019-10-28 00:10:17,39.0055,wtceth
17,2019-10-28 00:10:22,2153.6535,omgusdt
16,2019-10-28 00:10:25,13.2312,gntusdt
18,2019-10-28 00:10:31,158.4844,ltcbtc
17,2019-10-28 00:10:32,3635.604,ltcusdt
18,2019-10-28 00:10:37,2244.0885,etcusdt
17,2019-10-28 00:10:39,7.1065,aeeth
17,2019-10-28 00:10:41,7238.9707,ethbtc
16,2019-10-28 00:10:43,3940.5552,ethusdt
17,2019-10-28 00:10:44,4103.3995,btcusdt
17,2019-10-28 00:10:47,0.0106,mcoeth
18,2019-10-28 00:10:48,290.5878,omgusdt
17,2019-10-28 00:10:52,10.7764,wtceth
18,2019-10-28 00:10:53,41.3821,zrxusdt
17,2019-10-28 00:10:54,6.2301,gntusdt
18,2019-10-28 00:11:02,3231.6844,ltcusdt
18,2019-10-28 00:11:08,4.1457,aeeth
19,2019-10-28 00:11:10,1498.4855,ltcbtc
18,2019-10-28 00:11:11,6315.5015,ethbtc
19,2019-10-28 00:11:14,143.95,etcusdt
19,2019-10-28 00:11:14,1324.2116,omgusdt
18,2019-10-28 00:11:19,0.4583,mcoeth
17,2019-10-28 00:11:21,8032.6123,ethusdt
19,2019-10-28 00:11:24,14.5322,zrxusdt
18,2019-10-28 00:11:26,4622.2877,btcusdt
18,2019-10-28 00:11:34,2.3442,gntusdt
18,2019-10-28 00:11:37,22.4931,wtceth
19,2019-10-28 00:11:40,1378.1274,ethbtc
20,2019-10-28 00:11:42,221.3775,omgusdt
19,2019-10-28 00:11:42,2592.7462,ltcusdt
19,2019-10-28 00:11:42,2.7153,aeeth
20,2019-10-28 00:11:46,521.8404,etcusdt
20,2019-10-28 00:11:48,1751.7479,ltcbtc
19,2019-10-28 00:11:52,0.5218,mcoeth
19,2019-10-28 00:12:06,30913.7522,btcusdt
18,2019-10-28 00:12:06,1863.7114,ethusdt
20,2019-10-28 00:12:07,2846.0592,ethbtc
20,2019-10-28 00:12:09,66.9951,zrxusdt
21,2019-10-28 00:12:14,1096.4331,omgusdt
19,2019-10-28 00:12:16,14.1862,gntusdt
21,2019-10-28 00:12:17,2445.2794,ltcbtc
20,2019-10-28 00:12:17,0.3048,mcoeth
19,2019-10-28 00:12:19,9.4133,wtceth
20,2019-10-28 00:12:22,6.4454,aeeth
20,2019-10-28 00:12:22,3849.6758,ltcusdt
21,2019-10-28 00:12:24,1563.9205,etcusdt
21,2019-10-28 00:12:36,37.5837,zrxusdt
21,2019-10-28 00:12:38,9118.6493,ethbtc
21,2019-10-28 00:12:46,0.1274,mcoeth
19,2019-10-28 00:12:46,5008.0073,ethusdt
20,2019-10-28 00:12:50,26498.9545,btcusdt
21,2019-10-28 00:12:50,2783.7611,ltcusdt
22,2019-10-28 00:12:57,1466.2551,omgusdt
20,2019-10-28 00:12:57,29.6431,wtceth
22,2019-10-28 00:12:58,2423.8692,ltcbtc
20,2019-10-28 00:12:58,4.1879,gntusdt
22,2019-10-28 00:13:06,39.9387,zrxusdt
21,2019-10-28 00:13:06,0.1851,aeeth
22,2019-10-28 00:13:09,2095.3022,etcusdt
22,2019-10-28 00:13:13,1546.6626,ethbtc
20,2019-10-28 00:13:14,9089.547,ethusdt
21,2019-10-28 00:13:22,27324.545,btcusdt
22,2019-10-28 00:13:28,0.4922,mcoeth
21,2019-10-28 00:13:28,15.3197,wtceth
21,2019-10-28 00:13:32,13.2735,gntusdt
23,2019-10-28 00:13:32,1455.8068,ltcbtc
22,2019-10-28 00:13:34,3495.0072,ltcusdt
23,2019-10-28 00:13:36,611.2693,omgusdt
23,2019-10-28 00:13:37,890.8336,etcusdt
22,2019-10-28 00:13:43,4.1362,aeeth
23,2019-10-28 00:13:51,17.5624,zrxusdt
23,2019-10-28 00:13:51,2495.5993,ethbtc
21,2019-10-28 00:13:53,8440.682,ethusdt
23,2019-10-28 00:14:00,0.2289,mcoeth
22,2019-10-28 00:14:01,23.8902,wtceth
22,2019-10-28 00:14:03,13823.3304,btcusdt
24,2019-10-28 00:14:06,72.8414,omgusdt
23,2019-10-28 00:14:06,1952.8739,ltcusdt
22,2019-10-28 00:14:07,11.1292,gntusdt
24,2019-10-28 00:14:08,1894.2762,etcusdt
24,2019-10-28 00:14:16,93.5475,ltcbtc
24,2019-10-28 00:14:16,88.7902,zrxusdt
23,2019-10-28 00:14:17,0.6823,aeeth
24,2019-10-28 00:14:24,1314.0699,ethbtc
24,2019-10-28 00:14:26,0.2582,mcoeth
22,2019-10-28 00:14:26,7918.8476,ethusdt
23,2019-10-28 00:14:27,35.3323,wtceth
23,2019-10-28 00:14:33,14.8622,gntusdt
23,2019-10-28 00:14:35,23489.4401,btcusdt
